Project Organization,Month Year,Total IC Amount
Mechanical Engineering,2023-08,20339.64
Mechanical Engineering,2023-09,4177.59
Mechanical Engineering,2023-10,4050.08
Mechanical Engineering,2023-11,7361.91
Mechanical Engineering,2023-12,9653.96
Mechanical Engineering,2024-01,1515.4
Mechanical Engineering,2024-02,2190.25
Mechanical Engineering,2024-03,1039.25
Mechanical Engineering,2024-04,2959.61
Mechanical Engineering,2024-05,3680.28
Mechanical Engineering,2024-06,24234.92
Mechanical Engineering,2024-07,15048.7
Mechanical Engineering,2024-08,16775.24
Mechanical Engineering,2024-09,9783.84
Mechanical Engineering,2024-10,9842.74
Mechanical Engineering,2024-11,9008.85
Mechanical Engineering,2024-12,9447.52
Mechanical Engineering,2025-01,15338.84
Mechanical Engineering,2025-02,10737.87
Mechanical Engineering,2025-03,15757.17
Mechanical Engineering,2025-04,10592.12
Mechanical Engineering,2025-05,16280.59
Molecular Biology,2010-11,6222.71
Molecular Biology,2010-12,4134.11
Molecular Biology,2011-01,6781.16
Molecular Biology,2011-02,9488.41
Molecular Biology,2011-03,7972.2
Molecular Biology,2011-04,8212.94
Molecular Biology,2011-05,6303.33
Molecular Biology,2011-06,9545.05
Molecular Biology,2011-07,2187.66
Molecular Biology,2011-08,7947.45
Molecular Biology,2011-09,6485.37
Molecular Biology,2011-10,11847.69
Molecular Biology,2011-11,5569.26
Molecular Biology,2011-12,5920.59
Molecular Biology,2012-01,5545.83
Molecular Biology,2012-02,5789.67
Molecular Biology,2012-03,7534.66
Molecular Biology,2012-04,7493.89
Molecular Biology,2012-05,6996.18
Molecular Biology,2012-06,7136.44
Molecular Biology,2012-07,8182.97
Molecular Biology,2012-08,11377.31
Molecular Biology,2012-09,5491.48
Molecular Biology,2012-10,22507.39
Molecular Biology,2012-11,8405.95
Molecular Biology,2012-12,4949.57
Molecular Biology,2013-01,6145.19
Molecular Biology,2013-02,8796.34
Molecular Biology,2013-03,5173.12
Molecular Biology,2013-04,7112.8
Molecular Biology,2013-05,4739.97
Molecular Biology,2013-06,8113.34
Molecular Biology,2013-07,8695.72
Molecular Biology,2013-08,7924.86
Molecular Biology,2013-09,4375.31
Molecular Biology,2013-10,5497.67
Molecular Biology,2013-11,4843.13
Molecular Biology,2013-12,3716.69
Molecular Biology,2014-01,3612.42
Molecular Biology,2014-02,5204.46
Molecular Biology,2014-03,6144.08
Molecular Biology,2014-04,6510.42
Molecular Biology,2014-05,16308.76
Molecular Biology,2014-06,13495.8
Molecular Biology,2014-07,17748.49
Molecular Biology,2014-08,9909.42
Molecular Biology,2014-09,15840.35
Molecular Biology,2014-10,14107.63
Molecular Biology,2014-11,14087.53
Molecular Biology,2014-12,9983.7
Molecular Biology,2015-01,10934.07
Molecular Biology,2015-02,6884.48
Molecular Biology,2015-03,10585.96
Molecular Biology,2015-04,6157.31
Molecular Biology,2015-05,5515.95
Molecular Biology,2015-06,17056.74
Molecular Biology,2015-07,15443.86
Molecular Biology,2015-08,11220.28
Molecular Biology,2015-09,14540.69
Molecular Biology,2015-10,9250.66
Molecular Biology,2015-11,10068.37
Molecular Biology,2015-12,11952.98
Molecular Biology,2016-01,20345.72
Molecular Biology,2016-02,16980.54
Molecular Biology,2016-03,19550.3
Molecular Biology,2016-04,29423.05
Molecular Biology,2016-05,42832.82
Molecular Biology,2016-06,101013
Molecular Biology,2016-07,73637.33
Molecular Biology,2016-08,63607.22
Molecular Biology,2016-09,54388.15
Molecular Biology,2016-10,79524.7
Molecular Biology,2016-11,52267.38
Molecular Biology,2016-12,58932.1
Molecular Biology,2017-01,55689.52
Molecular Biology,2017-02,68684.4
Molecular Biology,2017-03,113294.21
Molecular Biology,2017-04,121487.26
Molecular Biology,2017-05,66531.71
Molecular Biology,2017-06,122407.59
Molecular Biology,2017-07,78324.75
Molecular Biology,2017-08,60729.73
Molecular Biology,2017-09,39967.76
Molecular Biology,2017-10,50942.6
Molecular Biology,2017-11,39694.07
Molecular Biology,2017-12,51239.46
Molecular Biology,2018-01,56132.08
Molecular Biology,2018-02,77139.84
Molecular Biology,2018-03,104898.21
Molecular Biology,2018-04,87051.73
Molecular Biology,2018-05,74218.15
Molecular Biology,2018-06,114717.6
Molecular Biology,2018-07,96919.86
Molecular Biology,2018-08,77319.69
Molecular Biology,2018-09,51166.17
Molecular Biology,2018-10,51966.01
Molecular Biology,2018-11,38042.64
Molecular Biology,2018-12,50513.52
Molecular Biology,2019-01,37415.61
Molecular Biology,2019-02,42258.97
Molecular Biology,2019-03,60769.61
Molecular Biology,2019-04,50735.13
Molecular Biology,2019-05,71178.65
Molecular Biology,2019-06,91829.18
Molecular Biology,2019-07,89649.69
Molecular Biology,2019-08,67621.77
Molecular Biology,2019-09,32880.58
Molecular Biology,2019-10,49843.63
Molecular Biology,2019-11,51582.3
Molecular Biology,2019-12,24210.08
Molecular Biology,2020-01,34612.61
Molecular Biology,2020-02,50160.08
Molecular Biology,2020-03,39574.11
Molecular Biology,2020-04,25161.69
Molecular Biology,2020-05,50810
Molecular Biology,2020-06,109683.51
Molecular Biology,2020-07,97351.54
Molecular Biology,2020-08,62224.28
Molecular Biology,2020-09,54029.17
Molecular Biology,2020-10,57778.39
Molecular Biology,2020-11,53463.79
Molecular Biology,2020-12,38440.07
Molecular Biology,2021-01,42541.76
Molecular Biology,2021-02,60660.61
Molecular Biology,2021-03,55587.78
Molecular Biology,2021-04,58309.99
Molecular Biology,2021-05,89881.6
Molecular Biology,2021-06,140868.13
Molecular Biology,2021-07,132891.87
Molecular Biology,2021-08,104453.58
Molecular Biology,2021-09,71769.68
Molecular Biology,2021-10,84695.01
Molecular Biology,2021-11,76581.78
Molecular Biology,2021-12,67505.84
Molecular Biology,2022-01,71318.65
Molecular Biology,2022-02,81639.39
Molecular Biology,2022-03,79689.5
Molecular Biology,2022-04,80174.86
Molecular Biology,2022-05,103630.01
Molecular Biology,2022-06,141578.95
Molecular Biology,2022-07,146042.97
Molecular Biology,2022-08,125869.41
Molecular Biology,2022-09,104885.74
Molecular Biology,2022-10,86296.75
Molecular Biology,2022-11,92854.95
Molecular Biology,2022-12,117041.41
Molecular Biology,2023-01,84562.67
Molecular Biology,2023-02,94454.38
Molecular Biology,2023-03,91252.95
Molecular Biology,2023-04,81713.26
Molecular Biology,2023-05,126546.72
Molecular Biology,2023-06,162596.49
Molecular Biology,2023-07,157188.48
Molecular Biology,2023-08,133357.89
Molecular Biology,2023-09,99015.51
Molecular Biology,2023-10,85450.65
Molecular Biology,2023-11,76282.08
Molecular Biology,2023-12,74546.01
Molecular Biology,2024-01,82807.36
Molecular Biology,2024-02,94915.62
Molecular Biology,2024-03,80323.96
Molecular Biology,2024-04,68766.28
Molecular Biology,2024-05,92627.25
Molecular Biology,2024-06,125746.9
Molecular Biology,2024-07,106882.38
Molecular Biology,2024-08,113199.92
Molecular Biology,2024-09,78241.91
Molecular Biology,2024-10,79239.39
Molecular Biology,2024-11,56700.74
Molecular Biology,2024-12,56697.65
Molecular Biology,2025-01,49806.14
Molecular Biology,2025-02,62243.02
Molecular Biology,2025-03,66199.5
Molecular Biology,2025-04,57865.32
Molecular Biology,2025-05,74191.76
Molecular Biology,2025-06,1269.73
Music,2022-08,67.52
Music,2022-09,63.82
Music,2022-11,21.23
Music,2022-12,109.14
Music,2023-03,306.58
Music,2023-05,118.8
Music,2025-03,102.64
Music,2025-04,197.28
Music,2025-05,366.32
Neuroscience,2015-09,46592.8
Neuroscience,2015-10,29983.42
Neuroscience,2015-11,23334.73
Neuroscience,2015-12,21884.33
Neuroscience,2016-01,26277.05
Neuroscience,2016-02,24138.57
Neuroscience,2016-03,20472.32
Neuroscience,2016-04,23032.49
Neuroscience,2016-05,23220.57
Neuroscience,2016-06,28989.46
Neuroscience,2016-07,4121.6
Neuroscience,2016-08,1419.26
Neuroscience,2016-09,104.72
Neuroscience,2016-10,822.18
Neuroscience,2016-11,38.46
Neuroscience,2016-12,356.45
Neuroscience,2017-01,-1121.62
Neuroscience,2017-03,-2866.3
Neuroscience,2018-04,12075.26
Neuroscience,2018-05,258.06
Office of Online & Continuing Education,2016-05,11001.38
Office of Online & Continuing Education,2016-06,26360.41
Office of Online & Continuing Education,2016-07,36987.99
Office of Online & Continuing Education,2016-08,36623.3
Office of Online & Continuing Education,2016-09,23024.67
Office of Online & Continuing Education,2016-10,30167.09
Office of Online & Continuing Education,2016-11,32012.98
Office of Online & Continuing Education,2016-12,36053.73
Office of Online & Continuing Education,2017-01,22176.79
Office of Online & Continuing Education,2017-02,18171.7
Office of Online & Continuing Education,2017-03,21313.4
Office of Online & Continuing Education,2017-04,43971.16
Office of Online & Continuing Education,2017-06,28626.25
Office of Online & Continuing Education,2017-07,27866.14
Office of Online & Continuing Education,2017-08,21856.83
Office of Online & Continuing Education,2017-09,25421
Office of Online & Continuing Education,2017-10,24687.18
Office of Online & Continuing Education,2017-11,28128.96
Office of Online & Continuing Education,2017-12,33487.7
Office of Online & Continuing Education,2018-01,24283.29
Office of Online & Continuing Education,2018-02,58311.65
Office of Online & Continuing Education,2018-03,38216.18
Office of Online & Continuing Education,2018-04,41075.58
Office of Online & Continuing Education,2018-05,1969.56
Office of Online & Continuing Education,2018-06,2244.18
Office of Online & Continuing Education,2018-07,5279.33
Office of Sponsored Programs,2000-01,-273835.37
Office of Sponsored Programs,2000-02,-338411.96
Office of Sponsored Programs,2000-03,-391113.2
Office of Sponsored Programs,2000-04,-306724.91
Office of Sponsored Programs,2000-05,-415466.64
Office of Sponsored Programs,2000-06,-573509.87
Office of Sponsored Programs,2000-07,-477198.35
Office of Sponsored Programs,2000-08,-413686.79
Office of Sponsored Programs,2000-09,-303108.29
Office of Sponsored Programs,2000-10,-414388.7
Office of Sponsored Programs,2000-11,-447272.85
Office of Sponsored Programs,2000-12,-283359.82
Office of Sponsored Programs,2001-01,-455100.56
Office of Sponsored Programs,2001-02,-338305.67
Office of Sponsored Programs,2001-03,-405347.1
Office of Sponsored Programs,2001-04,-429897.91
Office of Sponsored Programs,2001-05,-411206.06
Office of Sponsored Programs,2001-06,-650806.48
Office of Sponsored Programs,2001-07,-575889.33
Office of Sponsored Programs,2001-08,-524097.54
Office of Sponsored Programs,2001-09,-358783.92
Office of Sponsored Programs,2001-10,-450316.43
Office of Sponsored Programs,2001-11,-427542.15
Office of Sponsored Programs,2001-12,-366684.26
Office of Sponsored Programs,2002-01,-385426.6
Office of Sponsored Programs,2002-02,-503042.26
Office of Sponsored Programs,2002-03,-355814.12
Office of Sponsored Programs,2002-04,-439165.23
Office of Sponsored Programs,2002-05,-544479.41
Office of Sponsored Programs,2002-06,-874452.62
Office of Sponsored Programs,2002-07,-614630.88
Office of Sponsored Programs,2002-08,-604531.75
Office of Sponsored Programs,2002-09,-431815.71
Office of Sponsored Programs,2002-10,-814706.57
Office of Sponsored Programs,2002-11,-366140.68
Office of Sponsored Programs,2002-12,-500541.8
Office of Sponsored Programs,2003-01,-479619.55
Office of Sponsored Programs,2003-02,-572658.67
Office of Sponsored Programs,2003-03,-388265.62
Office of Sponsored Programs,2003-04,-527478.68
Office of Sponsored Programs,2003-05,-702277.83
Office of Sponsored Programs,2003-06,-777666.14
Office of Sponsored Programs,2003-07,-838367
Office of Sponsored Programs,2003-08,-695041.54
Office of Sponsored Programs,2003-09,-531975.36
Office of Sponsored Programs,2003-10,-579158.33
Office of Sponsored Programs,2003-11,-674032.31
Office of Sponsored Programs,2003-12,-470766.3
Office of Sponsored Programs,2004-01,-554500.35
Office of Sponsored Programs,2004-02,-577709.65
Office of Sponsored Programs,2004-03,-536264.46
Office of Sponsored Programs,2004-04,-457378.58
Office of Sponsored Programs,2004-05,-951014.75
Office of Sponsored Programs,2004-06,-1037304.43
Office of Sponsored Programs,2004-07,-734511.62
Office of Sponsored Programs,2004-08,-739955.25
Office of Sponsored Programs,2004-09,-665802.41
Office of Sponsored Programs,2004-10,-822418.37
Office of Sponsored Programs,2004-11,-715755.88
Office of Sponsored Programs,2004-12,-574345.1
Office of Sponsored Programs,2005-01,-552732.04
Office of Sponsored Programs,2005-02,-672276.73
Office of Sponsored Programs,2005-03,-636256.81
Office of Sponsored Programs,2005-04,-710818.56
Office of Sponsored Programs,2005-05,-773285.94
Office of Sponsored Programs,2005-06,-970305.08
Office of Sponsored Programs,2005-07,-758203.63
Office of Sponsored Programs,2005-08,-683054.22
Office of Sponsored Programs,2005-09,-557672.77
Office of Sponsored Programs,2005-10,-684936.56
Office of Sponsored Programs,2005-11,-642417.75
Office of Sponsored Programs,2005-12,-565981.28
Office of Sponsored Programs,2006-01,-501740.43
Office of Sponsored Programs,2006-02,-621551.45
Office of Sponsored Programs,2006-03,-590290.39
Office of Sponsored Programs,2006-04,-615966.1
Office of Sponsored Programs,2006-05,-859627.45
Office of Sponsored Programs,2006-06,-1139196.83
Office of Sponsored Programs,2006-07,-754547.84
Office of Sponsored Programs,2006-08,-887385.91
Office of Sponsored Programs,2006-09,-539130.3
Office of Sponsored Programs,2006-10,-633009.54
Office of Sponsored Programs,2006-11,-667031.36
Office of Sponsored Programs,2006-12,-694753.34
Office of Sponsored Programs,2007-01,-693475.68
Office of Sponsored Programs,2007-02,-622540.94
Office of Sponsored Programs,2007-03,-594565.84
Office of Sponsored Programs,2007-04,-680648.39
Office of Sponsored Programs,2007-05,-872125.43
Office of Sponsored Programs,2007-06,-991903.15
Office of Sponsored Programs,2007-07,-743277.76
Office of Sponsored Programs,2007-08,-793943.38
Office of Sponsored Programs,2007-09,-663658.34
Office of Sponsored Programs,2007-10,-920610.16
Office of Sponsored Programs,2007-11,-721010
Office of Sponsored Programs,2007-12,-576439.29
Office of Sponsored Programs,2008-01,-783646.04
Office of Sponsored Programs,2008-02,-671810.31
Office of Sponsored Programs,2008-03,-725802.35
Office of Sponsored Programs,2008-04,-641500.73
Office of Sponsored Programs,2008-05,-828007.9
Office of Sponsored Programs,2008-06,-1254812.84
Office of Sponsored Programs,2008-07,-895033.86
Office of Sponsored Programs,2008-08,-927480.64
Office of Sponsored Programs,2008-09,-718072.29
Office of Sponsored Programs,2008-10,-853049.72
Office of Sponsored Programs,2008-11,-622148.59
Office of Sponsored Programs,2008-12,-637650
Office of Sponsored Programs,2009-01,-635352.52
Office of Sponsored Programs,2009-02,-693853.07
Office of Sponsored Programs,2009-03,-700517.25
Office of Sponsored Programs,2009-04,-675233.59
Office of Sponsored Programs,2009-05,-845527.53
Office of Sponsored Programs,2009-06,-1184035.19
Office of Sponsored Programs,2009-07,-1200485.95
Office of Sponsored Programs,2009-08,-816805.25
Office of Sponsored Programs,2009-09,-814219.12
Office of Sponsored Programs,2009-10,-821590.62
Office of Sponsored Programs,2009-11,-731206.38
Office of Sponsored Programs,2009-12,-710714.54
Office of Sponsored Programs,2010-01,-770329
Office of Sponsored Programs,2010-02,-774007.43
Office of Sponsored Programs,2010-03,-811806.62
Office of Sponsored Programs,2010-04,-797369.53
Office of Sponsored Programs,2010-05,-996318.73
Office of Sponsored Programs,2010-06,-1459074.78
Office of Sponsored Programs,2010-07,-960032.56
Office of Sponsored Programs,2010-08,-902144.37
Office of Sponsored Programs,2010-09,-751748.69
Office of Sponsored Programs,2010-10,-775353.56
Office of Sponsored Programs,2010-11,-890468.94
Office of Sponsored Programs,2010-12,-805677.93
Office of Sponsored Programs,2011-01,-720743.2
Office of Sponsored Programs,2011-02,-783304.15
Office of Sponsored Programs,2011-03,-740174.17
Office of Sponsored Programs,2011-04,-753874.02
Office of Sponsored Programs,2011-05,-921774.32
Office of Sponsored Programs,2011-06,-1236991.09
Office of Sponsored Programs,2011-07,-1023314.68
Office of Sponsored Programs,2011-08,-833318.26
Office of Sponsored Programs,2011-09,-811987.96
Office of Sponsored Programs,2011-10,-837123.94
Office of Sponsored Programs,2011-11,-711458.78
Office of Sponsored Programs,2011-12,-652302.87
Office of Sponsored Programs,2012-01,-716986.58
Office of Sponsored Programs,2012-02,-758535.23
Office of Sponsored Programs,2012-03,-748041.95
Office of Sponsored Programs,2012-04,-780365.34
Office of Sponsored Programs,2012-05,-903822.98
Office of Sponsored Programs,2012-06,-1365666.33
Office of Sponsored Programs,2012-07,-1015910.67
Office of Sponsored Programs,2012-08,-991830.05
Office of Sponsored Programs,2012-09,-675598.21
Office of Sponsored Programs,2012-10,-897445.11
Office of Sponsored Programs,2012-11,-810162.75
Office of Sponsored Programs,2012-12,-667167.63
Office of Sponsored Programs,2013-01,-788761.27
Office of Sponsored Programs,2013-02,-782730.74
Office of Sponsored Programs,2013-03,-791498.3
Office of Sponsored Programs,2013-04,-759444.05
Office of Sponsored Programs,2013-05,-924728.63
Office of Sponsored Programs,2013-06,-1353853.12
Office of Sponsored Programs,2013-07,-1126307.41
Office of Sponsored Programs,2013-08,-916295.2
Office of Sponsored Programs,2013-09,-770732.79
Office of Sponsored Programs,2013-10,-816710.61
Office of Sponsored Programs,2013-11,-676782.75
Office of Sponsored Programs,2013-12,-635062.31
Office of Sponsored Programs,2014-01,-611523.96
Office of Sponsored Programs,2014-02,-705013.94
Office of Sponsored Programs,2014-03,-635373.9
Office of Sponsored Programs,2014-04,-747277.11
Office of Sponsored Programs,2014-05,-810041.34
Office of Sponsored Programs,2014-06,-1112602.68
Office of Sponsored Programs,2014-07,-917190.11
Office of Sponsored Programs,2014-08,-829753.99
Office of Sponsored Programs,2014-09,-634876.73
Office of Sponsored Programs,2014-10,-881428.97
Office of Sponsored Programs,2014-11,-618687.03
Office of Sponsored Programs,2014-12,-892902.75
Office of Sponsored Programs,2015-01,-709264.12
Office of Sponsored Programs,2015-02,-687271
Office of Sponsored Programs,2015-03,-766858.23
Office of Sponsored Programs,2015-04,-722889.75
Office of Sponsored Programs,2015-05,-928359.02
Office of Sponsored Programs,2015-06,-1588447.94
Office of Sponsored Programs,2015-07,-1298519.12
Office of Sponsored Programs,2015-08,-2077235.11
Office of Sponsored Programs,2015-09,138673.21
Office of Sponsored Programs,2015-10,-960306.92
Office of Sponsored Programs,2015-11,-855541.78
Office of Sponsored Programs,2015-12,-878425.46
Office of Sponsored Programs,2016-01,-794708.14
Office of Sponsored Programs,2016-02,-854144.27
Office of Sponsored Programs,2016-03,-868389.62
Office of Sponsored Programs,2016-04,-871941.81
Office of Sponsored Programs,2016-05,-1104755.21
Office of Sponsored Programs,2016-06,-1545776.84
Office of Sponsored Programs,2016-07,-1244611.95
Office of Sponsored Programs,2016-08,-1264226.49
Office of Sponsored Programs,2016-09,-942646.03
Office of Sponsored Programs,2016-10,-946295.65
Office of Sponsored Programs,2016-11,-942301.29
Office of Sponsored Programs,2016-12,-854108.94
Office of Sponsored Programs,2017-01,-874442.05
Office of Sponsored Programs,2017-02,-832497.37
Office of Sponsored Programs,2017-03,-949212.92
Office of Sponsored Programs,2017-04,-991975.42
Office of Sponsored Programs,2017-05,-1169559.76
Office of Sponsored Programs,2017-06,-1438363.71
Office of Sponsored Programs,2018-03,-217.94
Office of Sponsored Programs,2024-03,-0.04
Office of Sponsored Programs,2024-05,0.52
Pharmacy,2017-10,825.22
Pharmacy,2017-11,1467.68
Pharmacy,2017-12,473
Pharmacy,2018-01,567.09
Pharmacy,2018-02,1492.21
Pharmacy,2018-03,423.55
Pharmacy,2018-04,2006
Pharmacy,2018-07,424.6
Pharmacy,2018-08,289.82
Pharmacy,2019-04,49.9
Pharmacy,2019-05,6.98
Pharmacy,2019-06,137.8
Physics & Astronomy,2010-10,4189.4
Physics & Astronomy,2010-11,5427.88
Physics & Astronomy,2010-12,5273.73
Physics & Astronomy,2011-01,8961.3
Physics & Astronomy,2011-02,6481.27
Physics & Astronomy,2011-03,6512.82
Physics & Astronomy,2011-04,5937.75
Physics & Astronomy,2011-05,11503.43
Physics & Astronomy,2011-06,14441.93
Physics & Astronomy,2011-07,9705.31
Physics & Astronomy,2011-08,11206.97
Physics & Astronomy,2011-09,10649.96
Physics & Astronomy,2011-10,9806.85
Physics & Astronomy,2011-11,8977.4
Physics & Astronomy,2011-12,9677.1
Physics & Astronomy,2012-01,6418.16
Physics & Astronomy,2012-02,6431.33
Physics & Astronomy,2012-03,9953.2
Physics & Astronomy,2012-04,8258.99
Physics & Astronomy,2012-05,15828.44
Physics & Astronomy,2012-06,20724.86
Physics & Astronomy,2012-07,17038.05
Physics & Astronomy,2012-08,14530.83
Physics & Astronomy,2012-09,12605.8
Physics & Astronomy,2012-10,15283.96
Physics & Astronomy,2012-11,13499.97
Physics & Astronomy,2012-12,11920.56
Physics & Astronomy,2013-01,19713.86
Physics & Astronomy,2013-02,13909.8
Physics & Astronomy,2013-03,16152.89
Physics & Astronomy,2013-04,17686.84
Physics & Astronomy,2013-05,17658.97
Physics & Astronomy,2013-06,17882.55
Physics & Astronomy,2013-07,9750.17
Physics & Astronomy,2013-08,9972.5
Physics & Astronomy,2013-09,5464.15
Physics & Astronomy,2013-10,6983.78
Physics & Astronomy,2013-11,5763.6
Physics & Astronomy,2013-12,6771.21
Physics & Astronomy,2014-01,9353.57
Physics & Astronomy,2014-02,9566.05
Physics & Astronomy,2014-03,9630.55
Physics & Astronomy,2014-04,7731.69
Physics & Astronomy,2014-05,14210.6
Physics & Astronomy,2014-06,18491.57
Physics & Astronomy,2014-07,12857.94
Physics & Astronomy,2014-08,11406.45
Physics & Astronomy,2014-09,7120.8
Physics & Astronomy,2014-10,7563.45
Physics & Astronomy,2014-11,6925.44
Physics & Astronomy,2014-12,12733.14
Physics & Astronomy,2015-01,7583.88
Physics & Astronomy,2015-02,12152.94
Physics & Astronomy,2015-03,18575.18
Physics & Astronomy,2015-04,13262.71
Physics & Astronomy,2015-05,8136.99
Physics & Astronomy,2015-06,39863.75
Physics & Astronomy,2015-07,25895.42
Physics & Astronomy,2015-08,21094.47
Physics & Astronomy,2015-09,27185.62
Physics & Astronomy,2015-10,11929.99
Physics & Astronomy,2015-11,13854.13
Physics & Astronomy,2015-12,18652.85
Physics & Astronomy,2016-01,16474.82
Physics & Astronomy,2016-02,18895.78
Physics & Astronomy,2016-03,16476.21
Physics & Astronomy,2016-04,-502.31
Physics & Astronomy,2016-05,24372.82
Physics & Astronomy,2016-06,55669.99
Physics & Astronomy,2016-07,36268.28
Physics & Astronomy,2016-08,33220.38
Physics & Astronomy,2016-09,11971.74
Physics & Astronomy,2016-10,19461.58
Physics & Astronomy,2016-11,21319.22
Physics & Astronomy,2016-12,27595.59
Physics & Astronomy,2017-01,12024.2
Physics & Astronomy,2017-02,17646.69
Physics & Astronomy,2017-03,15306.06
Physics & Astronomy,2017-04,12276.83
Physics & Astronomy,2017-05,33159.28
Physics & Astronomy,2017-06,41187.53
Physics & Astronomy,2017-07,42180.3
Physics & Astronomy,2017-08,20251
Physics & Astronomy,2017-09,16821.81
Physics & Astronomy,2017-10,15312.2
Physics & Astronomy,2017-11,15506.09
Physics & Astronomy,2017-12,20180.85
Physics & Astronomy,2018-01,11913.8
Physics & Astronomy,2018-02,15371.69
Physics & Astronomy,2018-03,19575.29
Physics & Astronomy,2018-04,16485.31
Physics & Astronomy,2018-05,34102.05
Physics & Astronomy,2018-06,50616.99
Physics & Astronomy,2018-07,41978.93
Physics & Astronomy,2018-08,36677.28
Physics & Astronomy,2018-09,32509.25
Physics & Astronomy,2018-10,27664.24
Physics & Astronomy,2018-11,23544.31
Physics & Astronomy,2018-12,30214.65
Physics & Astronomy,2019-01,19748.78
Physics & Astronomy,2019-02,18857.65
Physics & Astronomy,2019-03,30222.29
Physics & Astronomy,2019-04,28386.68
Physics & Astronomy,2019-05,41656.58
Physics & Astronomy,2019-06,55445.42
Physics & Astronomy,2019-07,57657.19
Physics & Astronomy,2019-08,35418.75
Physics & Astronomy,2019-09,67559.05
Physics & Astronomy,2019-10,27252.73
Physics & Astronomy,2019-11,37805.92
Physics & Astronomy,2019-12,43305.78
Physics & Astronomy,2020-01,38130
Physics & Astronomy,2020-02,54789.28
Physics & Astronomy,2020-03,29010.9
Physics & Astronomy,2020-04,24414.49
Physics & Astronomy,2020-05,35871.32
Physics & Astronomy,2020-06,44206.47
Physics & Astronomy,2020-07,48412.91
Physics & Astronomy,2020-08,38617.04
Physics & Astronomy,2020-09,45323.07
Physics & Astronomy,2020-10,28748.8
Physics & Astronomy,2020-11,25895.59
Physics & Astronomy,2020-12,24017.04
Physics & Astronomy,2021-01,21993.87
Physics & Astronomy,2021-02,22692.98
Physics & Astronomy,2021-03,26072.15
Physics & Astronomy,2021-04,23750.02
Physics & Astronomy,2021-05,31062.49
Physics & Astronomy,2021-06,67641.19
Physics & Astronomy,2021-07,98684.44
Physics & Astronomy,2021-08,37637.52
Physics & Astronomy,2021-09,30260.29
Physics & Astronomy,2021-10,15027.32
Physics & Astronomy,2021-11,22657.23
Physics & Astronomy,2021-12,16162.73
Physics & Astronomy,2022-01,21015.88
Physics & Astronomy,2022-02,15752.2
Physics & Astronomy,2022-03,23848.71
Physics & Astronomy,2022-04,16722.85
Physics & Astronomy,2022-05,25191.85
Physics & Astronomy,2022-06,37660.5
Physics & Astronomy,2022-07,40359.55
Physics & Astronomy,2022-08,42016.91
Physics & Astronomy,2022-09,37924.43
Physics & Astronomy,2022-10,53995.66
Physics & Astronomy,2022-11,28312.31
Physics & Astronomy,2022-12,24073.6
Physics & Astronomy,2023-01,23053.62
Physics & Astronomy,2023-02,34037.2
Physics & Astronomy,2023-03,56498.11
Physics & Astronomy,2023-04,49762.85
Physics & Astronomy,2023-05,32733.95
Physics & Astronomy,2023-06,37862.35
Physics & Astronomy,2023-07,61357.61
Physics & Astronomy,2023-08,65604.25
Physics & Astronomy,2023-09,44706.37
Physics & Astronomy,2023-10,42649.18
Physics & Astronomy,2023-11,33651.32
Physics & Astronomy,2023-12,26384.05
Physics & Astronomy,2024-01,29270.05
Physics & Astronomy,2024-02,29527.39
Physics & Astronomy,2024-03,32749.77
Physics & Astronomy,2024-04,25965.09
Physics & Astronomy,2024-05,55408.15
Physics & Astronomy,2024-06,68071.94
Physics & Astronomy,2024-07,75682.29
Physics & Astronomy,2024-08,59297.21
Physics & Astronomy,2024-09,44279.41
Physics & Astronomy,2024-10,40279.24
Physics & Astronomy,2024-11,31580.58
Physics & Astronomy,2024-12,32060.3
Physics & Astronomy,2025-01,38380.37
Physics & Astronomy,2025-02,47141.74
Physics & Astronomy,2025-03,36732.46
Physics & Astronomy,2025-04,33688.4
Physics & Astronomy,2025-05,54894.53
Plant Sciences,2000-02,0.98
Plant Sciences,2000-03,4.29
Plant Sciences,2000-04,3.9
Plant Sciences,2000-05,7.67
Plant Sciences,2000-06,41.45
Plant Sciences,2000-07,196.14
Plant Sciences,2000-08,318.53
Plant Sciences,2000-10,395.12
Plant Sciences,2000-11,35.89
Plant Sciences,2000-12,168.62
Plant Sciences,2001-01,-100.5
Plant Sciences,2001-02,266.98
Plant Sciences,2001-03,199.81
Plant Sciences,2001-04,-143.76
Plant Sciences,2001-05,248.48
Plant Sciences,2001-06,-14.07
Plant Sciences,2001-07,58.53
Plant Sciences,2001-08,64.46
Plant Sciences,2001-09,53.18
Plant Sciences,2001-10,121.09
Plant Sciences,2001-11,33.74
Plant Sciences,2001-12,134.93
Plant Sciences,2002-01,167.29
Plant Sciences,2002-02,132.13
Plant Sciences,2002-03,30.24
Plant Sciences,2002-04,-95.53
Plant Sciences,2002-05,111.26
Plant Sciences,2002-06,31.06
Plant Sciences,2002-07,117.32
Plant Sciences,2002-08,271.96
Plant Sciences,2002-09,69.53
Plant Sciences,2002-10,52.27
Plant Sciences,2002-11,79.85
Plant Sciences,2002-12,1.65
Plant Sciences,2003-01,17.3
Plant Sciences,2003-02,92.82
Plant Sciences,2003-03,230.56
Plant Sciences,2003-04,41.18
Plant Sciences,2003-05,57.41
Plant Sciences,2003-06,-33.39
Plant Sciences,2003-07,108.14
Plant Sciences,2003-08,102.93
