"Proposal #","full proposal title","Project Title","PI","PI Unit","Status","Sponsor","Prime Sponsor","Admin Unit","Project Start Date","Project End Date","Proposal Type","Instrument Type","Project #","Created Date.x","Total Sponsor Costs","Sponsor Deadline","academic affairs","activity type","History Action Day and Comment","Actual_Submission_Date","Actual_Udr_Consid_Date","Actual_Funding_Date","Actual_Not_Funding_Date","Actual_Submission_FY","Actual_Udr_Consid_FY","Actual_Funding_FY","Actual_Not_Funding_FY","Created Date.y","Proposal_Creation_FY","Days_to_Submission","Days_to_Funding_From_Submission","Days_to_Non_Funding_From_Submission","Actual_Submission_Month_Year","College/Division","Actual_Submission_Quarter","Actual_Funding_Quarter","Sponsor_Type_Grouped","Sponsor_Category","Submission_Status","Submission_Count","Award_Count","Total_Submission_Count","Received_Total_Sponsor_Costs"
"23-1924-P0001","Nicotine Use Prevention and Control (NUPAC) Program","NICOTINE USE PREVENTION AND CONTROL PROGRAM: NMDOH: RFPNUPAC2302","Humphrey John Costello","Wyoming Survey & Analysis Center","Funded","New Mexico Department of Health",,"Wyoming Survey & Analysis Center","9/25/2023","6/30/2027","New",,"23-1924",2023-06-29 15:59:21,2100000,"3/3/2023 12:00:00 AM",,"Applied Research","11/12/2023 05:21:16 PM: previously submitted to sponsor >> 11/12/2023 05:21:35 PM: project is funded, pre-award setup is complete",2023-11-12 17:21:16,,2023-11-12 17:21:35,,"FY2024",,"FY2024",,2023-06-29 15:59:21,"FY2023",136,0,,"November-2023","Research & Economic Development","Q2 FY2024","Q2 FY2024","State","Others","Funded",0,1,1,2100000
"23-1925-P0001","INL K-12 Education Program","Idaho National Laboratories: K-12 Education","Mike Borowczak","Electrical Engineering & Computer Science","Not Funded","Idaho National Laboratory/Battelle Energy Alliance, LLC/Battelle Memorial Institute",,"Electrical Engineering & Computer Science","8/1/2023","7/31/2024","New",,"23-1925",2023-06-29 16:15:17,35000,"2/21/2023 12:00:00 AM",,"Other Sponsored Activity","3/28/2024 11:09:04 AM: Submitted on 02/21/2024 by PI.  See attached application package >> 11/22/2024 02:13:50 PM: There is no award record for this proposal and the end date has passed.",2024-03-28 11:09:04,,,2024-11-22 14:13:50,"FY2024",,,"FY2025",2023-06-29 16:15:17,"FY2023",273,,239,"March-2024","Engineering","Q3 FY2024",,"Business","Others","Submitted",1,0,1,0
"23-1929-P0001","Qualitative Research Support to Inform the Regional Health Assessment in Central Oregon","Central Oregon Health Council","Emily A. Grant","Wyoming Survey & Analysis Center","Closed","Central Oregon Health Council",,"Wyoming Survey & Analysis Center","3/1/2023","10/30/2023","New",,"23-1929",2023-06-29 16:23:26,24772,"2/15/2023 12:00:00 AM",,"Applied Research","3/28/2024 10:25:49 AM: FY 23 legacy data, loaded by legacy loader please see 23-1473-A0001 for award documents",,,2024-03-28 10:25:49,,,,"FY2024",,2023-06-29 16:23:26,"FY2023",,,,,"Research & Economic Development",,"Q3 FY2024","Business","Others","Funded",0,1,1,24772
"23-1930-P0001","Jackson Moose Calf Survival and Development of Migration Patterns","Jackson Moose - MBRWF","Matthew Kauffman","Wyoming Coop Unit","Not Funded","Meg and Bert Raynes Wildlife Fund",,"Wyoming Coop Unit","3/1/2023","2/28/2024","New",,"23-1930",2023-06-29 16:26:22,9000,"2/1/2023 12:00:00 AM",,"Applied Research","4/5/2024 02:54:47 PM: Legacy. Greensheet. >> 4/5/2024 02:55:09 PM: Declined. Per notice from Sponsor.",2024-04-05 14:54:47,,,2024-04-05 14:55:09,"FY2024",,,"FY2024",2023-06-29 16:26:22,"FY2023",281,,0,"April-2024","Agriculture","Q4 FY2024",,"Non-profit","Others","Submitted",1,0,1,0
"23-1931-P0001","Reproductive success and habitat selection of the declining Loggerhead Shrike in an altered landscape","Loggerhead shrike altered landscape","Anna Lisa D. Chalfoun","Wyoming Coop Unit","Funded","Meg and Bert Raynes Wildlife Fund",,"Wyoming Coop Unit","3/1/2023","2/28/2024","New",,"23-1931",2023-06-29 16:35:06,4505,"2/1/2023 12:00:00 AM",,"Applied Research","3/28/2024 10:35:33 AM: FY23 legacy data, previously submitted to sponsor. updating status, greensheet attached. >> 11/22/2024 03:00:45 PM: There is a completed award set up in AWARDS for this project",2024-03-28 10:35:33,,2024-11-22 15:00:45,,"FY2024",,"FY2025",,2023-06-29 16:35:06,"FY2023",273,239,,"March-2024","Agriculture","Q3 FY2024","Q2 FY2025","Non-profit","Others","Funded",0,1,1,4505
"23-1932-P0001","Reproductive success and habitat selection of the declining Loggerhead Shrike","Loggerhead Shrike - WGBGLC","Anna Lisa D. Chalfoun","Wyoming Coop Unit","Funded","Wyoming Game and Fish Department",,"Wyoming Coop Unit","7/1/2023","12/31/2025","New",,"23-1932",2023-06-29 16:35:30,9000,"1/31/2023 12:00:00 AM",,"Applied Research","8/4/2023 01:38:44 PM: Legacy. Greensheet. >> 8/4/2023 01:38:52 PM: Awarded.",2023-08-04 13:38:44,,2023-08-04 13:38:52,,"FY2024",,"FY2024",,2023-06-29 16:35:30,"FY2023",36,0,,"August-2023","Agriculture","Q1 FY2024","Q1 FY2024","State","Others","Funded",0,1,1,9000
"23-1932-P0002","Fitness Consequences of Habitat Selection Decisions in Altered Landscapes","Loggerhead Shrike - WGBGLC","Anna Lisa D. Chalfoun","Wyoming Coop Unit","Funded","Wyoming Game and Fish Department",,"Wyoming Coop Unit","5/1/2024","12/10/2025","New",,"23-1932",2024-01-12 16:04:18,10200,"1/31/2024 12:00:00 AM",,"Applied Research","2/19/2024 01:46:22 PM: Submitted on 01/30/2024, See attachments
 >> 3/26/2024 03:04:43 PM: See attachments for notice of intent to award. In past years, there has been a boilerplate state grant agreement for these projects. >> 7/26/2024 10:26:22 AM: Agreement under review.",2024-02-19 13:46:22,2024-03-26 15:04:43,2024-07-26 10:26:22,,"FY2024","FY2024","FY2025",,2024-01-12 16:04:18,"FY2024",38,158,,"February-2024","Agriculture","Q3 FY2024","Q1 FY2025","State","Others","Funded",0,1,1,10200
"23-1934-P0001","FEED for Integrated CCS Systems at Coal Electric Generation-Only Facilities","Integrated Carbon Capture and Storage Project at Dry Fork Station","Jonathan Fred McLaughlin","School of Energy Resources Directors Office","Not Funded","Membrane Technology and Research, Inc.","U.S. Department of Energy","School of Energy Resources Directors Office","9/1/2023","8/31/2025","New",,"23-1934",2023-06-29 16:51:03,558617,"11/21/2022 12:00:00 AM",,"Applied Research","4/19/2024 11:25:21 AM: Legacy. Greensheet. >> 12/23/2024 10:36:59 AM: Assuming not funded, as it’s been over 12 months since submission with no updates.",2024-04-19 11:25:21,,,2024-12-23 10:36:59,"FY2024",,,"FY2025",2023-06-29 16:51:03,"FY2023",295,,248,"April-2024","School of Energy Resources","Q4 FY2024",,"Non-profit","Others","Submitted",1,0,1,0
"23-1935-P0001","Geriatric Workforce Enhancement Program Nursing Staff Training in Nursing Home Care Supplement","GWEP Resources & Services Admin DHHS","Christine L. McKibbin","Psychology","Not Funded","Health Resources and Services Administration/Department of Health and Human Services",,"Psychology","7/15/2022","6/30/2023","Supplement",,"23-1935",2023-06-30 08:25:24,42009,"7/12/2022 12:00:00 AM",,"Basic Research","6/30/2023 08:36:06 AM: Legacy Data Submitted to Sponsor 7/8/22 >> 11/22/2024 02:20:30 PM: There is no award record for this project in our system and the end date has passed.",2023-06-30 08:36:06,,,2024-11-22 14:20:30,"FY2023",,,"FY2025",2023-06-30 08:25:24,"FY2023",0,,511,"June-2023","Arts & Sciences","Q4 FY2023",,"Federal","HHS (other than NIH)","Submitted",1,0,1,0
"23-1937-P0001","BRC-BIO: Investigating the role of hypothalamic cell types and circuits in social thermoregulation","BRC-BIO: Investigating the role of hypothalamic cell types and circuits in social thermoregulation","Adam C. Nelson","Zoology & Physiology","Not Funded","National Science Foundation",,"Zoology & Physiology","1/1/2024","12/30/2026","New",,"23-1937",2023-06-30 10:15:52,496868,"6/30/2023 12:00:00 AM",,"Basic Research","7/19/2023 11:05:50 AM: Submitted >> 12/18/2023 08:11:43 AM: Received the decline notice from Sponsor 12/15/2023. Proposal #2335038",2023-07-19 11:05:50,,,2023-12-18 08:11:43,"FY2024",,,"FY2024",2023-06-30 10:15:52,"FY2023",19,,152,"July-2023","Agriculture","Q1 FY2024",,"Federal","NSF","Submitted",1,0,1,0
"23-1943-P0001","NSF Engines: Type 1: Regional energy resilience for economic development in five Northern frontier EPSCoR states","National Science Foundation Regional Innovation Engines (NSF Engines) Broad Agency","Xiang Zhang","Mechanical Engineering","Not Funded","South Dakota School of Mines and Technology","National Science Foundation","Mechanical Engineering","5/1/2023","4/30/2026","New",,"23-1943",2023-06-30 13:54:43,95000,"9/26/2022 12:00:00 AM",,"Basic Research","4/19/2024 10:55:03 AM: Legacy. No Greensheet. >> 4/19/2024 10:55:33 AM: Legacy. No greensheet. Not funded per NSF Engines Development Awards website.",2024-04-19 10:55:03,,,2024-04-19 10:55:33,"FY2024",,,"FY2024",2023-06-30 13:54:43,"FY2023",294,,0,"April-2024","Engineering","Q4 FY2024",,"Others","Others","Submitted",1,0,1,0
"23-1944-P0001","Blue Cross Blue Shield of Wyoming Website Maintenance FY 22 and FY 23 makeup and FY 24 plans","Blue Cross Blue Shield of Wyoming Website Maintenance","Robert K. Leduc","Wyoming Survey & Analysis Center","Funded","Blue Cross Blue Shield of Wyoming",,"Wyoming Survey & Analysis Center","6/2/2023","6/1/2024","Non-Competing Continuation",,"23-1944",2023-06-30 14:01:42,57414,"7/14/2023 12:00:00 AM",,"Other Sponsored Activity","7/26/2023 10:17:08 AM: submitted to sponsor 7/14/23 >> 9/20/2023 03:19:33 PM: Award documents uploaded, 9/20/23",2023-07-26 10:17:08,,2023-09-20 15:19:33,,"FY2024",,"FY2024",,2023-06-30 14:01:42,"FY2023",26,56,,"July-2023","Research & Economic Development","Q1 FY2024","Q1 FY2024","Non-profit","Others","Funded",0,1,1,57414
"23-1944-P0002","Blue Cross Blue Shield of Wyoming Website Maintenance FY25","Blue Cross Blue Shield of Wyoming Website Maintenance","Robert K. Leduc","Wyoming Survey & Analysis Center","Funded","Blue Cross Blue Shield of Wyoming",,"Wyoming Survey & Analysis Center","6/2/2024","6/1/2025","Non-Competing Continuation",,"23-1944",2024-04-23 15:10:59,20093,"7/15/2024 12:00:00 AM",,"Other Sponsored Activity","4/24/2024 03:45:06 PM: SOW and budget provided to sponsor, updating status and will work with sponsor on agreement. >> 5/5/2025 03:47:16 PM: This was a funding increase to the original award and was successfully funded.",2024-04-24 15:45:06,,2025-05-05 15:47:16,,"FY2024",,"FY2025",,2024-04-23 15:10:59,"FY2024",1,376,,"April-2024","Research & Economic Development","Q4 FY2024","Q4 FY2025","Business","Others","Funded",0,1,1,20093
"23-1944-P0003","Blue Cross Blue Shield of Wyoming Website Maintenance FY26","Blue Cross Blue Shield of Wyoming Website Maintenance","Robert K. Leduc","Wyoming Survey & Analysis Center","Submitted to Sponsor","Blue Cross Blue Shield of Wyoming",,"Wyoming Survey & Analysis Center","6/1/2025","5/31/2026","Other",,"23-1944",2025-04-29 11:29:14,20124,"5/9/2025 12:00:00 AM",,"Other Sponsored Activity","5/7/2025 08:40:34 AM: Submitted",2025-05-07 08:40:34,,,,"FY2025",,,,2025-04-29 11:29:14,"FY2025",8,,,"May-2025","Research & Economic Development","Q4 FY2025",,"State","Others","Submitted",1,0,1,0
"23-1945-P0001","Wyoming Sensory Biology Biology COBRE - Phase I","Wyoming Sensory Biology COBRE","Qian-Quan Sun","Zoology & Physiology","Funded","National Institute of General Medical Sciences/National Institutes of Health/Department of Health and Human Services",,"Zoology & Physiology","12/1/2016","11/30/2021","New",,"23-1945",2023-06-30 14:03:58,10411923,"1/27/2016 12:00:00 AM",,"Basic Research","7/3/2023 10:43:23 AM: Legacy/Greensheet submission. >> 7/3/2023 10:43:57 AM: Awarded by NIH: 8/30/2017",2023-07-03 10:43:23,,2023-07-03 10:43:57,,"FY2024",,"FY2024",,2023-06-30 14:03:58,"FY2023",3,0,,"July-2023","Agriculture","Q1 FY2024","Q1 FY2024","Federal","NIH","Funded",0,1,1,10411923
"23-1945-P0002","Wyoming Sensory Biology COBRE - Phase II","Wyoming Sensory Biology COBRE","Qian-Quan Sun","Zoology & Physiology","Funded","National Institute of General Medical Sciences/National Institutes of Health/Department of Health and Human Services",,"Zoology & Physiology","8/1/2022","7/31/2027","Competing Continuation",,"23-1945",2023-07-03 10:33:28,10502320,"9/27/2021 12:00:00 AM",,"Basic Research","7/3/2023 01:04:56 PM: Legacy. Submitted to Sponsor 09/27/2021 >> 7/3/2023 01:05:44 PM: Awarded a new competing segment of 5 years.",2023-07-03 13:04:56,,2023-07-03 13:05:44,,"FY2024",,"FY2024",,2023-07-03 10:33:28,"FY2024",0,0,,"July-2023","Agriculture","Q1 FY2024","Q1 FY2024","Federal","NIH","Funded",0,1,1,10502320
"23-1945-P0003","Wyoming Sensory Biology COBRE - Administrative Supplement for Research on Women’s Health in the IDeA States","Wyoming Sensory Biology COBRE","Qian-Quan Sun","Zoology & Physiology","Submitted to Sponsor","National Institute of General Medical Sciences/National Institutes of Health/Department of Health and Human Services",,"VP for Research & Economic Development Office","8/1/2023","7/31/2024","Supplement",,"23-1945",2023-07-03 13:17:24,281943,"10/14/2022 12:00:00 AM",,"Basic Research","9/1/2023 08:19:32 AM: Legacy Submission.",2023-09-01 08:19:32,,,,"FY2024",,,,2023-07-03 13:17:24,"FY2024",60,,,"September-2023","Research & Economic Development","Q1 FY2024",,"Federal","NIH","Submitted",1,0,1,0
"23-1945-P0004","Wyoming Sensory Biology COBRE - Administrative Supplements to IDeA Awards to Fund TeamScience Development Projects (Gomelsky, Nair & Zhang)","Wyoming Sensory Biology COBRE","Qian-Quan Sun","Zoology & Physiology","Under Consideration","National Institute of General Medical Sciences/National Institutes of Health/Department of Health and Human Services",,"VP for Research & Economic Development Office","8/1/2023","7/31/2024","Supplement",,"23-1945",2023-07-03 13:27:29,929711,"5/31/2023 12:00:00 AM",,"Basic Research","9/1/2023 08:18:52 AM: Legacy Submission >> 9/8/2023 12:31:34 PM: NIH requested JIT materials",2023-09-01 08:18:52,2023-09-08 12:31:34,,,"FY2024","FY2024",,,2023-07-03 13:27:29,"FY2024",60,,,"September-2023","Research & Economic Development","Q1 FY2024",,"Federal","NIH","Submitted",1,0,1,0
"23-1945-P0005","Wyoming Sensory Biology COBRE - Administrative Supplement IDeA Awards to Fund TeamScience Development Projects (Cherrington, Li & Todd)","Wyoming Sensory Biology COBRE","Qian-Quan Sun","Zoology & Physiology","Funded","National Institute of General Medical Sciences/National Institutes of Health/Department of Health and Human Services",,"VP for Research & Economic Development Office","8/1/2023","7/31/2024","Supplement",,"23-1945",2023-07-03 13:56:06,945598,"5/31/2023 12:00:00 AM",,"Basic Research","8/24/2023 10:56:59 AM: 5/31/2023 >> 11/22/2024 02:34:48 PM: There is an award record for this project set up in ROAM.",2023-08-24 10:56:59,,2024-11-22 14:34:48,,"FY2024",,"FY2025",,2023-07-03 13:56:06,"FY2024",52,456,,"August-2023","Research & Economic Development","Q1 FY2024","Q2 FY2025","Federal","NIH","Funded",0,1,1,945598
"23-1945-P0006","Wyoming Sensory Biology COBRE - Notice of Special Interest (NOSI): Administrative Supplements to Enhance Institutional Data Science Capacity","Wyoming Sensory Biology COBRE","Qian-Quan Sun","Zoology & Physiology","Funded","National Institute of General Medical Sciences/National Institutes of Health/Department of Health and Human Services",,"VP for Research & Economic Development Office","8/1/2023","7/31/2025","Supplement",,"23-1945",2023-07-03 14:09:16,712858,"6/19/2023 12:00:00 AM",,"Basic Research","7/3/2023 02:27:15 PM: Submitted to Sponsor. 06/19/2023.  NIH Appl. ID 10871969
 >> 7/30/2023 03:07:10 PM: 7/27/2023 - Sponsor reached out for JIT materials of Other Support & F&A Rate Agreement. >> 9/22/2023 03:44:08 PM: Funded.",2023-07-03 14:27:15,2023-07-30 15:07:10,2023-09-22 15:44:08,,"FY2024","FY2024","FY2024",,2023-07-03 14:09:16,"FY2024",0,81,,"July-2023","Research & Economic Development","Q1 FY2024","Q1 FY2024","Federal","NIH","Funded",0,1,1,712858
"23-1945-P0007","Wyoming Sensory Biology COBRE-Notice of Special Interest (NOSI):  Administrative Supplements for Equipment","Wyoming Sensory Biology COBRE","Qian-Quan Sun","Zoology & Physiology","Funded","National Institute of General Medical Sciences/National Institutes of Health/Department of Health and Human Services",,"VP for Research & Economic Development Office","8/1/2023","7/31/2024","Supplement",,"23-1945",2023-07-17 14:45:16,249981,"3/1/2023 12:00:00 AM",,"Basic Research","7/18/2023 01:33:13 PM: Minor corrections. >> 7/26/2023 09:40:01 AM: Legacy. >> 7/26/2023 09:40:18 AM: Please see award #23-1945-A0003",2023-07-26 09:40:01,,2023-07-26 09:40:18,,"FY2024",,"FY2024",,2023-07-17 14:45:16,"FY2024",9,0,,"July-2023","Research & Economic Development","Q1 FY2024","Q1 FY2024","Federal","NIH","Funded",0,1,1,249981
"23-1945-P0008","Wyoming Sensory Biology COBRE Alzheimer's Supplement","Wyoming Sensory Biology COBRE","Qian-Quan Sun","Zoology & Physiology","Funded","National Institute of General Medical Sciences/National Institutes of Health/Department of Health and Human Services",,"VP for Research & Economic Development Office","8/1/2023","7/31/2024","Supplement",,"23-1945",2023-09-22 15:19:28,356545,"10/3/2022 12:00:00 AM",,"Applied Research","9/26/2023 01:48:54 PM: Legacy. No Greensheet. >> 9/26/2023 01:49:01 PM: Funded.",2023-09-26 13:48:54,,2023-09-26 13:49:01,,"FY2024",,"FY2024",,2023-09-22 15:19:28,"FY2024",4,0,,"September-2023","Research & Economic Development","Q1 FY2024","Q1 FY2024","Federal","NIH","Funded",0,1,1,356545
"23-1945-P0009","Wyoming Sensory Biology COBRE-Notice of Special Interest (NOSI):  Administrative Supplements for Equipment","Wyoming Sensory Biology COBRE","Qian-Quan Sun","Zoology & Physiology","Funded","National Institute of General Medical Sciences/National Institutes of Health/Department of Health and Human Services",,"VP for Research & Economic Development Office","8/1/2024","7/31/2025","Supplement",,"23-1945",2024-02-07 11:29:23,250000,"2/15/2024 12:00:00 AM",,"Basic Research","2/9/2024 08:15:46 AM: adding wyocloud access >> 2/14/2024 10:06:19 AM: Submitted 2-14 >> 8/8/2024 11:45:19 AM: Supplement NOA rec'd",2024-02-14 10:06:19,,2024-08-08 11:45:19,,"FY2024",,"FY2025",,2024-02-07 11:29:23,"FY2024",7,176,,"February-2024","Research & Economic Development","Q3 FY2024","Q1 FY2025","Federal","NIH","Funded",0,1,1,250000
"23-1945-P0010","Wyoming Sensory Biology COBRE","Wyoming Sensory Biology COBRE","Qian-Quan Sun","Zoology & Physiology","Submitted to Sponsor","National Institute of Mental Health/National Institutes of Health/Department of Health and Human Services",,"VP for Research & Economic Development Office","8/1/2024","7/31/2025","Supplement",,"23-1945",2024-02-26 08:10:56,934039,"3/1/2024 12:00:00 AM",,"Basic Research","3/4/2024 02:18:51 PM: via ASSIST",2024-03-04 14:18:51,,,,"FY2024",,,,2024-02-26 08:10:56,"FY2024",8,,,"March-2024","Research & Economic Development","Q3 FY2024",,"Federal","NIH","Submitted",1,0,1,0
"23-1945-P0011","Wyoming Sensory Biology COBRE","Wyoming Sensory Biology COBRE","Qian-Quan Sun","Zoology & Physiology","Funded","National Institute of General Medical Sciences/National Institutes of Health/Department of Health and Human Services",,"VP for Research & Economic Development Office","8/1/2025","7/31/2026","Supplement",,"23-1945",2025-04-07 09:43:25,935282,"4/18/2025 12:00:00 AM",,"Basic Research","4/10/2025 02:39:11 PM: Updating routing >> 4/16/2025 01:03:56 PM: GRANT14407311 >> 5/5/2025 03:12:06 PM: Award is in an active status so I am updating the proposal to a Funded status.",2025-04-16 13:03:56,,2025-05-05 15:12:06,,"FY2025",,"FY2025",,2025-04-07 09:43:25,"FY2025",9,19,,"April-2025","Research & Economic Development","Q4 FY2025","Q4 FY2025","Federal","NIH","Funded",0,1,1,935282
"23-1946-P0001","A practical, robust implementation of model-free AI to reconstruct the moving picture of molecular biology","Focused Technology Research and Development (R01 Clinical Trial Not Allowed)","Liudmila Sergeevna Mainzer","Advanced Research Computing Center","Not Funded","National Institutes of Health/Department of Health and Human Services",,"Advanced Research Computing Center","8/1/2023","7/31/2026","New",,"23-1946",2023-06-30 14:08:42,1560157,"10/5/2022 12:00:00 AM",,"Basic Research","4/19/2024 11:13:57 AM: Legacy. No Greensheet. >> 4/19/2024 11:14:16 AM: Not Funded.",2024-04-19 11:13:57,,,2024-04-19 11:14:16,"FY2024",,,"FY2024",2023-06-30 14:08:42,"FY2023",294,,0,"April-2024","Research & Economic Development","Q4 FY2024",,"Federal","NIH","Submitted",1,0,1,0
"23-1950-P0001","Methane INventory for NOrthern Wetlands (MINNOW)","Methane INventory for NOrthern Wetlands (MINNOW)","Dana Caulton","Atmospheric Science","Not Funded","National Aeronautics and Space Administration",,"Atmospheric Science","4/1/2023","3/31/2026","New",,"23-1950",2023-06-30 15:04:15,946553,"10/28/2022 12:00:00 AM",,"Applied Research","3/28/2024 11:52:31 AM: Submitted on 10/28/2022 via NSPIRES >> 3/28/2024 11:52:48 AM: See attached letter.  Declined 05/01/2023",2024-03-28 11:52:31,,,2024-03-28 11:52:48,"FY2024",,,"FY2024",2023-06-30 15:04:15,"FY2023",272,,0,"March-2024","Engineering","Q3 FY2024",,"Federal","Others","Submitted",1,0,1,0
"23-1951-P0001","Aerosol spectral absorption measurement for Near UV through Near Infrared Wavelengths","Handix Scientific Full Phase II: IR-PAS for Aerosol Absorption Measurements","Shane Michael Murphy","Atmospheric Science","Funded","Handix Scientific, Inc.",,"Atmospheric Science","6/21/2023","6/21/2025","New",,"23-1951",2023-06-30 15:07:34,404876.46,"11/3/2022 12:00:00 AM",,"Applied Research","8/17/2023 11:52:38 AM: Legacy. No Greensheet. >> 8/17/2023 11:52:59 AM: Sponsor has been recommended for an award. >> 9/27/2024 08:24:58 AM: Funded.",2023-08-17 11:52:38,2023-08-17 11:52:59,2024-09-27 08:24:58,,"FY2024","FY2024","FY2025",,2023-06-30 15:07:34,"FY2023",48,407,,"August-2023","Engineering","Q1 FY2024","Q1 FY2025","Business","Others","Funded",0,1,1,404876.46
"23-1954-P0001","Collaborative Research: MSA: Linking NEON Sites to Surrounding Lands: Towards the Influences of Human Activities on Natural Ecosystems at Regional Scales","Macrosystems Biology and NEON-Enabled Science (MSB-NES)","Di Yang","Wyoming Geographic Information Science Center","Not Funded","National Science Foundation",,"Wyoming Geographic Information Science Center",,,"New",,"23-1954",2023-06-30 15:23:20,,"11/14/2022 12:00:00 AM",,"Applied Research","3/13/2024 08:59:09 AM: Submitted to sponsor on 11/14/2022. REDD requested GS at this time. >> 3/13/2024 09:00:12 AM: Per notice from NSF on 05/23/2023, proposal was unfunded.",2024-03-13 08:59:09,,,2024-03-13 09:00:12,"FY2024",,,"FY2024",2023-06-30 15:23:20,"FY2023",257,,0,"March-2024","Engineering","Q3 FY2024",,"Federal","NSF","Submitted",1,0,1,0
"23-1955-P0001","Combining cattle grazing and beaver dam  analogues to improve water quality - University of Wyoming","Cattle and BDAs","Melanie A. Murphy","Ecosystem Science & Management","Not Funded","National Cattlemen's Beef Association",,"Ecosystem Science & Management","4/1/2023","3/31/2025","New",,"23-1955",2023-06-30 15:28:27,149936,"12/14/2022 12:00:00 AM",,"Applied Research","3/13/2024 09:04:57 AM: Legacy. Has Greensheet. >> 12/23/2024 10:40:42 AM: Assuming not funded, as it’s been over 12 months since submission with no updates.",2024-03-13 09:04:57,,,2024-12-23 10:40:42,"FY2024",,,"FY2025",2023-06-30 15:28:27,"FY2023",257,,285,"March-2024","Agriculture","Q3 FY2024",,"Non-profit","Others","Submitted",1,0,1,0
"23-1961-P0001","Regulation of nuclear size under conditions of cellular stress","Nuclear size regulation","Sourabh Sengupta","Molecular Biology","Not Funded","American Cancer Society",,"Molecular Biology","8/1/2023","7/31/2026","New",,"23-1961",2023-06-30 16:01:59,217500,"3/30/2023 12:00:00 AM",,"Basic Research","3/28/2024 02:55:58 PM: Submitted on 03/30/2023 at 5:30pm >> 12/23/2024 12:15:15 PM: Assuming not funded, as it’s been over 12 months since submission with no updates.",2024-03-28 14:55:58,,,2024-12-23 12:15:15,"FY2024",,,"FY2025",2023-06-30 16:01:59,"FY2023",272,,270,"March-2024","Agriculture","Q3 FY2024",,"Non-profit","Others","Submitted",1,0,1,0
"23-1963-P0001","2023 State Justice Statistics","2023 State Justice Statistics","Laurel Allison Wimbish","Wyoming Survey & Analysis Center","Funded","Department of Justice",,"Wyoming Survey & Analysis Center","10/1/2023","9/30/2024","New",,"23-1963",2023-06-30 16:16:02,224316,"6/8/2023 12:00:00 AM",,"Other Sponsored Activity","9/18/2023 03:16:51 PM: Legacy 2023 Data, Greensheet attached, already submitted to sponsor >> 9/18/2023 03:30:46 PM: Notice of Award recieved >> 10/3/2023 09:35:39 AM: Funded.",2023-09-18 15:16:51,2023-09-18 15:30:46,2023-10-03 09:35:39,,"FY2024","FY2024","FY2024",,2023-06-30 16:16:02,"FY2023",80,15,,"September-2023","Research & Economic Development","Q1 FY2024","Q2 FY2024","Federal","Others","Funded",0,1,1,224316
"23-1965-P0001","RII Track-4:NSF: Exploring van der Waals Superconducting Josephson Junctions for Robust Quantum Bits","Superconducting Josephson Junctions","Jifa Tian","Physics & Astronomy","Funded","National Science Foundation",,"Physics & Astronomy","1/1/2024","12/31/2025","New",,"23-1965",2023-06-30 16:23:38,300000,"4/11/2023 12:00:00 AM",,"Basic Research","3/28/2024 11:18:34 AM: Legacy submission, see greensheet >> 9/25/2024 12:56:31 PM: This proposal shows an awarded status in Research.gov",2024-03-28 11:18:34,,2024-09-25 12:56:31,,"FY2024",,"FY2025",,2023-06-30 16:23:38,"FY2023",272,181,,"March-2024","Engineering","Q3 FY2024","Q1 FY2025","Others",,"Funded",0,1,1,300000
"23-1966-P0001","Monitoring Canada Lynx in Wyoming","Canada Lynx Monitoring","Ian M. Abernethy","Wyo Natural Diversity Database","Funded","Wyoming Game and Fish Department",,"Wyo Natural Diversity Database","8/4/2023","12/31/2024","New",,"23-1966",2023-06-30 16:35:21,55420.95,"7/14/2023 12:00:00 AM",,"Applied Research","7/11/2023 02:11:03 PM: SOW needed. >> 7/12/2023 12:18:32 PM: Submitted to sponsor on 7/12/2023 >> 9/28/2023 10:28:54 AM: FE received 9/25/23, WYNDD requested expedited award setup.",2023-07-12 12:18:32,,2023-09-28 10:28:54,,"FY2024",,"FY2024",,2023-06-30 16:35:21,"FY2023",12,78,,"July-2023","Research & Economic Development","Q1 FY2024","Q1 FY2024","State","Others","Funded",0,1,1,55420.95
"23-1967-P0001","Creating a Modular Heat Chamber for Occupational Heat Acclimation and Thermoregulatory Research","Modular Heat Chamber for Heat Acclimation","Evan C. Johnson","Kinesiology & Health","Funded","ADD NEW","University of Washington, Seattle","Kinesiology & Health","12/1/2022","5/30/2023","New",,"23-1967",2023-06-30 16:44:23,4999,"10/1/2022 12:00:00 AM",,"Basic Research","7/5/2023 12:24:56 PM: Legacy. Greensheet Submission. Submitted to Sponsor 10/1/2022. >> 7/5/2023 12:25:31 PM: Award is being recommended for funding. In negotiations with the University of Washington. >> 7/5/2023 12:26:21 PM: In negotiation with sponsor. Waiting for updated PO based upon revised T&Cs.",2023-07-05 12:24:56,2023-07-05 12:25:31,2023-07-05 12:26:21,,"FY2024","FY2024","FY2024",,2023-06-30 16:44:23,"FY2023",5,0,,"July-2023","Health Sciences","Q1 FY2024","Q1 FY2024","Others","Others","Funded",0,1,1,4999
