"Project Organization","Expenditure Month Year","Total Expenditure Amount"
"College of Business Deans Office","2024-01",261.12
"College of Business Deans Office","2024-02",1107.96
"College of Business Deans Office","2024-03",264.28
"College of Business Deans Office","2024-04",261.12
"College of Business Deans Office","2024-05",2233.72
"College of Business Deans Office","2024-06",1549.62
"College of Education Deans Office","2021-08",1668.4
"College of Education Deans Office","2021-09",1375.43
"College of Education Deans Office","2021-10",4052.29
"College of Education Deans Office","2021-11",538.96
"College of Education Deans Office","2021-12",3774.08
"College of Education Deans Office","2022-01",4122.88
"College of Education Deans Office","2022-02",5172.26
"College of Education Deans Office","2022-03",-15270.04
"College of Education Deans Office","2022-04",1769.55
"College of Education Deans Office","2022-05",118.73
"College of Education Deans Office","2022-06",4461.48
"College of Education Deans Office","2022-07",7808.07
"College of Education Deans Office","2022-08",5520.17
"College of Education Deans Office","2022-09",440.78
"College of Education Deans Office","2022-10",479.99
"College of Education Deans Office","2022-11",474.48
"College of Education Deans Office","2022-12",11834.75
"College of Education Deans Office","2023-01",52.18
"College of Education Deans Office","2023-02",352.55
"College of Education Deans Office","2023-03",434.47
"College of Education Deans Office","2023-04",1050.64
"College of Education Deans Office","2023-05",11380.04
"College of Education Deans Office","2023-06",43809.74
"College of Education Deans Office","2023-07",8210.27
"College of Education Deans Office","2023-08",2575.5
"College of Education Deans Office","2023-09",633.31
"College of Education Deans Office","2023-10",503.85
"College of Education Deans Office","2023-11",614.14
"College of Education Deans Office","2023-12",408.25
"College of Education Deans Office","2024-01",405.34
"College of Education Deans Office","2024-02",417.21
"College of Education Deans Office","2024-03",1911.23
"College of Education Deans Office","2024-04",1009.84
"College of Education Deans Office","2024-05",1359.76
"College of Education Deans Office","2024-06",952.59
"College of Education Deans Office","2024-07",1139.3
"College of Education Deans Office","2024-08",660.35
"College of Education Deans Office","2024-09",882.24
"College of Education Deans Office","2024-10",528.22
"College of Education Deans Office","2024-11",900.11
"College of Education Deans Office","2024-12",481.92
"College of Education Deans Office","2025-01",635.08
"College of Education Deans Office","2025-02",836.84
"College of Education Deans Office","2025-03",994.12
"College of Education Deans Office","2025-04",721.79
"College of Education Deans Office","2025-05",768.39
"College of Education Deans Office","2025-06",3.53
"Communication Disorders","2021-07",101.57
"Communication Disorders","2021-08",139.54
"Communication Disorders","2021-09",1080.4
"Communication Disorders","2021-10",1123.64
"Communication Disorders","2021-11",1054.78
"Communication Disorders","2021-12",1409.14
"Communication Disorders","2022-01",41.63
"Communication Disorders","2022-02",22.42
"Communication Disorders","2024-08",2645.59
"Communication Disorders","2024-11",160.4
"Communication Disorders","2024-12",137.9
"Communication Disorders","2025-01",6608.36
"Communication Disorders","2025-02",3736.38
"Communication Disorders","2025-03",1821.58
"Communication Disorders","2025-04",2024.39
"Communication Disorders","2025-05",1450.64
"Counseling Leadership Advocacy & Design","2021-07",416.29
"Counseling Leadership Advocacy & Design","2021-08",2224.29
"Counseling Leadership Advocacy & Design","2021-09",-1268.2
"Counseling Leadership Advocacy & Design","2021-10",677.74
"Counseling Leadership Advocacy & Design","2021-11",457.46
"Counseling Leadership Advocacy & Design","2021-12",457.46
"Counseling Leadership Advocacy & Design","2022-01",457.46
"Counseling Leadership Advocacy & Design","2022-02",662.76
"Counseling Leadership Advocacy & Design","2022-03",704.93
"Counseling Leadership Advocacy & Design","2022-04",457.46
"Counseling Leadership Advocacy & Design","2022-05",659.23
"Counseling Leadership Advocacy & Design","2022-06",1355.17
"Counseling Leadership Advocacy & Design","2023-07",211.96
"Counseling Leadership Advocacy & Design","2023-09",1171.61
"Criminal Justice & Sociology","2021-07",0.25
"Criminal Justice & Sociology","2022-07",2300.31
"Criminal Justice & Sociology","2022-08",1132.54
"Criminal Justice & Sociology","2022-09",219.74
"Criminal Justice & Sociology","2022-10",617.6
"Criminal Justice & Sociology","2022-11",388.54
"Criminal Justice & Sociology","2022-12",466.29
"Criminal Justice & Sociology","2023-01",320.04
"Criminal Justice & Sociology","2023-02",273.04
"Criminal Justice & Sociology","2023-03",416.25
"Criminal Justice & Sociology","2023-04",410.96
"Criminal Justice & Sociology","2023-05",997.95
"Criminal Justice & Sociology","2023-06",1031.86
"Criminal Justice & Sociology","2023-07",425.71
"Criminal Justice & Sociology","2023-08",2910.95
"Criminal Justice & Sociology","2023-09",531.74
"Criminal Justice & Sociology","2023-10",453.95
"Criminal Justice & Sociology","2023-11",445.7
"Criminal Justice & Sociology","2023-12",593.23
"Criminal Justice & Sociology","2024-01",2723.38
"Criminal Justice & Sociology","2024-02",2774.11
"Criminal Justice & Sociology","2024-03",2999.85
"Criminal Justice & Sociology","2024-04",2882.11
"Criminal Justice & Sociology","2024-05",3610.72
"Criminal Justice & Sociology","2024-06",19350.86
"Criminal Justice & Sociology","2024-07",699.06
"Criminal Justice & Sociology","2024-08",12152.68
"Criminal Justice & Sociology","2024-09",5393.2
"Criminal Justice & Sociology","2024-10",4397.02
"Criminal Justice & Sociology","2024-11",4937.83
"Criminal Justice & Sociology","2024-12",5805.12
"Criminal Justice & Sociology","2025-01",6303.68
"Criminal Justice & Sociology","2025-02",6212.45
"Criminal Justice & Sociology","2025-03",7128.23
"Criminal Justice & Sociology","2025-04",6694.73
"Criminal Justice & Sociology","2025-05",9327.39
"Culture Gender & Social Justice","2021-07",1668.04
"Culture Gender & Social Justice","2021-08",9278.5
"Culture Gender & Social Justice","2021-09",2392.22
"Culture Gender & Social Justice","2021-10",2295.39
"Culture Gender & Social Justice","2021-11",2182.24
"Culture Gender & Social Justice","2021-12",2182.24
"Culture Gender & Social Justice","2022-01",2182.24
"Culture Gender & Social Justice","2022-02",2182.24
"Culture Gender & Social Justice","2022-03",2182.24
"Culture Gender & Social Justice","2022-04",2558.6
"Culture Gender & Social Justice","2022-05",2182.24
"Culture Gender & Social Justice","2022-06",1579.71
"Culture Gender & Social Justice","2022-07",1664.96
"Culture Gender & Social Justice","2022-08",44.5
"Culture Gender & Social Justice","2022-09",605.65
"Culture Gender & Social Justice","2022-10",1535.2
"Culture Gender & Social Justice","2022-11",1412.79
"Culture Gender & Social Justice","2022-12",1375.05
"Culture Gender & Social Justice","2023-01",1383.95
"Culture Gender & Social Justice","2023-02",490.76
"Culture Gender & Social Justice","2023-07",413.92
"Culture Gender & Social Justice","2023-08",1343.01
"Culture Gender & Social Justice","2023-09",2686.02
"Culture Gender & Social Justice","2023-10",2313.18
"Culture Gender & Social Justice","2023-11",1408.65
"Culture Gender & Social Justice","2023-12",1621.25
"Culture Gender & Social Justice","2024-01",10119.06
"Culture Gender & Social Justice","2024-08",6720.5
"EPSCoR/IDEA Office","2021-07",102459.37
"EPSCoR/IDEA Office","2021-08",73235.54
"EPSCoR/IDEA Office","2021-09",79258.39
"EPSCoR/IDEA Office","2021-10",75386.83
"EPSCoR/IDEA Office","2021-11",81946.21
"EPSCoR/IDEA Office","2021-12",72832.62
"EPSCoR/IDEA Office","2022-01",77895.69
"EPSCoR/IDEA Office","2022-02",74982.99
"EPSCoR/IDEA Office","2022-03",87387.64
"EPSCoR/IDEA Office","2022-04",78826.38
"EPSCoR/IDEA Office","2022-05",81278.41
"EPSCoR/IDEA Office","2022-06",128957.32
"EPSCoR/IDEA Office","2022-07",164070.37
"EPSCoR/IDEA Office","2022-08",125422.51
"EPSCoR/IDEA Office","2022-09",99688.79
"EPSCoR/IDEA Office","2022-10",75391.74
"EPSCoR/IDEA Office","2022-11",147858.98
"EPSCoR/IDEA Office","2022-12",80789.25
"EPSCoR/IDEA Office","2023-01",122279.21
"EPSCoR/IDEA Office","2023-02",98320.48
"EPSCoR/IDEA Office","2023-03",140009.54
"EPSCoR/IDEA Office","2023-04",139853.32
"EPSCoR/IDEA Office","2023-05",138434.73
"EPSCoR/IDEA Office","2023-06",177044.35
"EPSCoR/IDEA Office","2023-07",180984.78
"EPSCoR/IDEA Office","2023-08",176684.46
"EPSCoR/IDEA Office","2023-09",127513.49
"EPSCoR/IDEA Office","2023-10",76834.34
"EPSCoR/IDEA Office","2023-11",70970.75
"EPSCoR/IDEA Office","2023-12",86624.15
"EPSCoR/IDEA Office","2024-01",79829.38
"EPSCoR/IDEA Office","2024-02",88525.61
"EPSCoR/IDEA Office","2024-03",98288.92
"EPSCoR/IDEA Office","2024-04",100092.43
"EPSCoR/IDEA Office","2024-05",108911.28
"EPSCoR/IDEA Office","2024-06",138927.37
"EPSCoR/IDEA Office","2024-07",130983.33
"EPSCoR/IDEA Office","2024-08",134085.33
"EPSCoR/IDEA Office","2024-09",117490.89
"EPSCoR/IDEA Office","2024-10",108292.88
"EPSCoR/IDEA Office","2024-11",106137.02
"EPSCoR/IDEA Office","2024-12",109625.2
"EPSCoR/IDEA Office","2025-01",91276.18
"EPSCoR/IDEA Office","2025-02",91789.77
"EPSCoR/IDEA Office","2025-03",97626.43
"EPSCoR/IDEA Office","2025-04",106503.37
"EPSCoR/IDEA Office","2025-05",123404.79
"EPSCoR/IDEA Office","2025-06",665.88
"Economics","2021-07",8312.61
"Economics","2021-08",5879.65
"Economics","2021-09",4567.24
"Economics","2021-10",5509.87
"Economics","2021-11",4182.26
"Economics","2021-12",3751.58
"Economics","2022-01",4916.15
"Economics","2022-02",2990.02
"Economics","2022-03",2208.62
"Economics","2022-04",2545.92
"Economics","2022-05",14292.11
"Economics","2022-06",11408.81
"Economics","2022-07",6965.63
"Economics","2022-08",2539.75
"Economics","2022-09",5933.87
"Economics","2022-10",3984.87
"Economics","2022-11",2961.79
"Economics","2022-12",17190.62
"Economics","2023-01",1682.56
"Economics","2023-02",5522.42
"Economics","2023-03",3290.86
"Economics","2023-04",17540.53
"Economics","2023-05",30900.02
"Economics","2023-06",22558.24
"Economics","2023-07",15308.49
"Economics","2023-08",104222.97
"Economics","2023-09",4076.38
"Economics","2023-10",2552.37
"Economics","2023-11",8717.1
"Economics","2023-12",5301.29
"Economics","2024-01",6395.31
"Economics","2024-02",4135.48
"Economics","2024-03",2916.51
"Economics","2024-04",7865.09
"Economics","2024-05",28910.33
"Economics","2024-06",750
"Economics","2024-07",4489.53
"Economics","2024-08",5036.06
"Economics","2024-09",17633.77
"Economics","2024-10",4587.52
"Economics","2024-11",7980.96
"Economics","2024-12",4111.79
"Economics","2025-01",2340.91
"Economics","2025-02",5209.45
"Economics","2025-03",4639.46
"Economics","2025-04",5358.93
"Economics","2025-05",10957.96
"Ecosystem Science & Management","2021-07",70719.93
"Ecosystem Science & Management","2021-08",46041.58
"Ecosystem Science & Management","2021-09",26693.08
"Ecosystem Science & Management","2021-10",41689.27
"Ecosystem Science & Management","2021-11",39259.28
"Ecosystem Science & Management","2021-12",17056.19
"Ecosystem Science & Management","2022-01",22778.54
"Ecosystem Science & Management","2022-02",18962.11
"Ecosystem Science & Management","2022-03",30756.36
"Ecosystem Science & Management","2022-04",43446.44
"Ecosystem Science & Management","2022-05",26798.81
"Ecosystem Science & Management","2022-06",45506.23
"Ecosystem Science & Management","2022-07",74523.98
"Ecosystem Science & Management","2022-08",64186.62
"Ecosystem Science & Management","2022-09",58101.06
"Ecosystem Science & Management","2022-10",42053.85
"Ecosystem Science & Management","2022-11",26643.94
"Ecosystem Science & Management","2022-12",21175.62
"Ecosystem Science & Management","2023-01",28082.91
"Ecosystem Science & Management","2023-02",70710.44
"Ecosystem Science & Management","2023-03",65308.17
"Ecosystem Science & Management","2023-04",24397.11
"Ecosystem Science & Management","2023-05",40389.86
"Ecosystem Science & Management","2023-06",57549.04
"Ecosystem Science & Management","2023-07",37132.43
"Ecosystem Science & Management","2023-08",66250.39
"Ecosystem Science & Management","2023-09",49545.07
"Ecosystem Science & Management","2023-10",57733.34
"Ecosystem Science & Management","2023-11",67531.81
"Ecosystem Science & Management","2023-12",49495.48
"Ecosystem Science & Management","2024-01",17459.72
"Ecosystem Science & Management","2024-02",15809.93
"Ecosystem Science & Management","2024-03",33818.63
"Ecosystem Science & Management","2024-04",36008.08
"Ecosystem Science & Management","2024-05",29633.55
"Ecosystem Science & Management","2024-06",47595.53
"Ecosystem Science & Management","2024-07",42018.87
"Ecosystem Science & Management","2024-08",43505.95
"Ecosystem Science & Management","2024-09",18642.08
"Ecosystem Science & Management","2024-10",23839.64
"Ecosystem Science & Management","2024-11",16327.35
"Ecosystem Science & Management","2024-12",15422.92
"Ecosystem Science & Management","2025-01",38625.82
"Ecosystem Science & Management","2025-02",27201.61
"Ecosystem Science & Management","2025-03",-50892.53
"Ecosystem Science & Management","2025-04",17417.12
"Ecosystem Science & Management","2025-05",28140.42
"Ecosystem Science & Management","2025-06",242.76
"Education Abroad","2025-05",1496.17
"Educational Health Center of Wyoming","2021-07",4131.36
"Educational Health Center of Wyoming","2021-08",2532.38
"Educational Health Center of Wyoming","2021-09",5168.15
"Educational Health Center of Wyoming","2021-10",6397.25
"Educational Health Center of Wyoming","2021-11",23532.55
"Educational Health Center of Wyoming","2021-12",3758.25
"Educational Health Center of Wyoming","2022-01",6050.7
"Educational Health Center of Wyoming","2022-02",6433.81
"Educational Health Center of Wyoming","2022-03",1841.14
"Educational Health Center of Wyoming","2022-04",2799.79
"Educational Health Center of Wyoming","2022-05",4880.57
"Educational Health Center of Wyoming","2022-06",2283.75
"Educational Health Center of Wyoming","2022-07",1786.03
"Educational Health Center of Wyoming","2022-08",1857.88
"Educational Health Center of Wyoming","2022-09",1873.06
"Educational Health Center of Wyoming","2022-10",10386.4
"Educational Health Center of Wyoming","2022-11",1641.72
"Educational Health Center of Wyoming","2022-12",1721.52
"Educational Health Center of Wyoming","2023-01",1894.33
"Educational Health Center of Wyoming","2023-02",1747.15
"Educational Health Center of Wyoming","2023-03",4157.4
"Educational Health Center of Wyoming","2023-04",1364.03
"Educational Health Center of Wyoming","2023-05",32247.41
"Educational Health Center of Wyoming","2023-06",265.12
"Educational Health Center of Wyoming","2023-07",0
"Educational Health Center of Wyoming","2023-08",0
"Educational Health Center of Wyoming","2023-09",0
"Educational Health Center of Wyoming","2023-11",3808
"Educational Health Center of Wyoming","2024-02",2584
"Educational Health Center of Wyoming","2024-06",112.86
"Educational Health Center of Wyoming","2024-09",544.29
"Educational Health Center of Wyoming","2024-10",272
"Educational Health Center of Wyoming","2024-12",308.34
"Electrical & Computer Engineering","2021-07",7110.13
"Electrical & Computer Engineering","2021-08",0
"Electrical Engineering & Computer Science","2021-07",46068.78
"Electrical Engineering & Computer Science","2021-08",20740.34
"Electrical Engineering & Computer Science","2021-09",20768.88
"Electrical Engineering & Computer Science","2021-10",13664.86
"Electrical Engineering & Computer Science","2021-11",17214.39
"Electrical Engineering & Computer Science","2021-12",3440.14
"Electrical Engineering & Computer Science","2022-01",11812.36
"Electrical Engineering & Computer Science","2022-02",11516.08
"Electrical Engineering & Computer Science","2022-03",15350.69
"Electrical Engineering & Computer Science","2022-04",20480.51
"Electrical Engineering & Computer Science","2022-05",16415.74
"Electrical Engineering & Computer Science","2022-06",40696.13
"Electrical Engineering & Computer Science","2022-07",45469.46
"Electrical Engineering & Computer Science","2022-08",32523.55
"Electrical Engineering & Computer Science","2022-09",17019.95
"Electrical Engineering & Computer Science","2022-10",6981.75
"Electrical Engineering & Computer Science","2022-11",7290.88
"Electrical Engineering & Computer Science","2022-12",10074.93
"Electrical Engineering & Computer Science","2023-01",40737.82
"Electrical Engineering & Computer Science","2023-02",10144.34
"Electrical Engineering & Computer Science","2023-03",8555.61
"Electrical Engineering & Computer Science","2023-04",13000.1
"Electrical Engineering & Computer Science","2023-05",27467.5
"Electrical Engineering & Computer Science","2023-06",21515.39
"Electrical Engineering & Computer Science","2023-07",47181.56
"Electrical Engineering & Computer Science","2023-08",35192.86
"Electrical Engineering & Computer Science","2023-09",19978.18
"Electrical Engineering & Computer Science","2023-10",10574.29
"Electrical Engineering & Computer Science","2023-11",9538.86
"Electrical Engineering & Computer Science","2023-12",17915.78
"Electrical Engineering & Computer Science","2024-01",9101.17
"Electrical Engineering & Computer Science","2024-02",23811.09
"Electrical Engineering & Computer Science","2024-03",23597.49
"Electrical Engineering & Computer Science","2024-04",23897.12
"Electrical Engineering & Computer Science","2024-05",23544.9
"Electrical Engineering & Computer Science","2024-06",30083.63
"Electrical Engineering & Computer Science","2024-07",49995.21
"Electrical Engineering & Computer Science","2024-08",32615.18
"Electrical Engineering & Computer Science","2024-09",30404.67
"Electrical Engineering & Computer Science","2024-10",14521.55
"Electrical Engineering & Computer Science","2024-11",13546.68
"Electrical Engineering & Computer Science","2024-12",13077.96
"Electrical Engineering & Computer Science","2025-01",12451.58
"Electrical Engineering & Computer Science","2025-02",13135.61
"Electrical Engineering & Computer Science","2025-03",14138.35
"Electrical Engineering & Computer Science","2025-04",25059.12
"Electrical Engineering & Computer Science","2025-05",30722.44
"Energy & Petroleum Engineering","2021-07",32854.5
"Energy & Petroleum Engineering","2021-08",24244.01
"Energy & Petroleum Engineering","2021-09",20658.9
"Energy & Petroleum Engineering","2021-10",21930.61
"Energy & Petroleum Engineering","2021-11",15508.39
"Energy & Petroleum Engineering","2021-12",17540.18
"Energy & Petroleum Engineering","2022-01",35927.93
"Energy & Petroleum Engineering","2022-02",25745.27
"Energy & Petroleum Engineering","2022-03",14698.5
"Energy & Petroleum Engineering","2022-04",13901.46
"Energy & Petroleum Engineering","2022-05",16447.08
"Energy & Petroleum Engineering","2022-06",45158.76
"Energy & Petroleum Engineering","2022-07",28248.88
"Energy & Petroleum Engineering","2022-08",36149.17
"Energy & Petroleum Engineering","2022-09",24041.59
"Energy & Petroleum Engineering","2022-10",19447.77
"Energy & Petroleum Engineering","2022-11",29094.04
"Energy & Petroleum Engineering","2022-12",12001.4
"Energy & Petroleum Engineering","2023-01",15459.63
"Energy & Petroleum Engineering","2023-02",16949.61
"Energy & Petroleum Engineering","2023-03",12300.69
"Energy & Petroleum Engineering","2023-04",13397.19
"Energy & Petroleum Engineering","2023-05",20216.34
"Energy & Petroleum Engineering","2023-06",22317.2
"Energy & Petroleum Engineering","2023-07",24133.81
"Energy & Petroleum Engineering","2023-08",18451.64
"Energy & Petroleum Engineering","2023-09",13004.45
"Energy & Petroleum Engineering","2023-10",10438.43
"Energy & Petroleum Engineering","2023-11",10023
"Energy & Petroleum Engineering","2023-12",10261.76
"Energy & Petroleum Engineering","2024-01",518.19
"Energy & Petroleum Engineering","2024-02",3551
"Energy & Petroleum Engineering","2024-03",4367.77
"Energy & Petroleum Engineering","2024-04",3580.2
"Energy & Petroleum Engineering","2024-05",10874.2
"Energy & Petroleum Engineering","2024-06",897.87
"Energy & Petroleum Engineering","2024-07",911.1
"Energy & Petroleum Engineering","2024-08",4897.49
"Energy & Petroleum Engineering","2024-09",1667.28
"Energy & Petroleum Engineering","2024-10",1191.92
"Energy & Petroleum Engineering","2024-11",1823.52
"Energy & Petroleum Engineering","2024-12",1111.52
"Energy & Petroleum Engineering","2025-01",358.49
"Energy & Petroleum Engineering","2025-02",358.49
"Energy & Petroleum Engineering","2025-03",497.1
"Energy & Petroleum Engineering","2025-04",358.49
"Energy & Petroleum Engineering","2025-05",4345.09
"Engineering & Physical Sciences Deans Office","2022-05",9485.19
"Engineering & Physical Sciences Deans Office","2022-06",3189.66
"Engineering & Physical Sciences Deans Office","2022-07",3181.39
"Engineering & Physical Sciences Deans Office","2022-08",3181.39
"Engineering & Physical Sciences Deans Office","2022-09",2265.08
"Engineering & Physical Sciences Deans Office","2023-11",369.3
"Engineering & Physical Sciences Deans Office","2023-12",251.6
"Engineering & Physical Sciences Deans Office","2024-01",689.59
"Engineering & Physical Sciences Deans Office","2024-02",1012.5
"Engineering & Physical Sciences Deans Office","2024-03",1558.56
"Engineering & Physical Sciences Deans Office","2024-04",752.94
"Engineering & Physical Sciences Deans Office","2024-05",937.28
"Engineering & Physical Sciences Deans Office","2024-06",357.81
"Engineering & Physical Sciences Deans Office","2024-07",1194.96
"Engineering & Physical Sciences Deans Office","2024-08",1123.15
"Engineering & Physical Sciences Deans Office","2024-09",418.36
"English Language Center","2021-09",510
"English Language Center","2022-06",5474
"Enhanced Oil Recovery Institute","2021-07",6933.35
"Enhanced Oil Recovery Institute","2021-08",5072.22
"Enhanced Oil Recovery Institute","2021-09",34284.94
"Enhanced Oil Recovery Institute","2021-10",6904.22
"Enhanced Oil Recovery Institute","2021-11",5810.07
"Enhanced Oil Recovery Institute","2021-12",5717.45
"Enhanced Oil Recovery Institute","2022-01",67888.82
"Enhanced Oil Recovery Institute","2022-02",39057.56
"Enhanced Oil Recovery Institute","2022-03",3109.03
"Enhanced Oil Recovery Institute","2022-04",29823.52
"Enhanced Oil Recovery Institute","2022-05",6429.52
"Enhanced Oil Recovery Institute","2022-06",2735.95
"Enhanced Oil Recovery Institute","2022-07",2782.92
"Enhanced Oil Recovery Institute","2022-08",7155.75
"Enhanced Oil Recovery Institute","2022-09",202478.65
"Enhanced Oil Recovery Institute","2022-10",254847.89
"Enhanced Oil Recovery Institute","2022-11",4143.05
"Enhanced Oil Recovery Institute","2022-12",2272.2
"Enhanced Oil Recovery Institute","2023-01",12996.9
"Enhanced Oil Recovery Institute","2023-02",3912.96
"Enhanced Oil Recovery Institute","2023-03",3912.96
"Enhanced Oil Recovery Institute","2023-04",164350.69
"Enhanced Oil Recovery Institute","2023-05",4010.81
"Enhanced Oil Recovery Institute","2023-06",-3467.63
"Enhanced Oil Recovery Institute","2023-07",4310.6
"Enhanced Oil Recovery Institute","2023-08",2895.51
"Enhanced Oil Recovery Institute","2023-09",911.98
"Enhanced Oil Recovery Institute","2023-10",4098.55
"Enhanced Oil Recovery Institute","2023-11",55313.67
"Enhanced Oil Recovery Institute","2023-12",1887.79
"Enhanced Oil Recovery Institute","2024-01",2458.19
"Enhanced Oil Recovery Institute","2024-02",3326.55
"Enhanced Oil Recovery Institute","2024-03",2348.42
"Enhanced Oil Recovery Institute","2024-04",1853.97
"Enhanced Oil Recovery Institute","2024-05",2316.97
"Enhanced Oil Recovery Institute","2024-06",852.44
"Enhanced Oil Recovery Institute","2024-07",1432.92
"Enhanced Oil Recovery Institute","2024-08",1467.55
"Enhanced Oil Recovery Institute","2024-09",7407.44
"Enhanced Oil Recovery Institute","2024-10",467.04
"Enhanced Oil Recovery Institute","2024-11",467.04
"Enhanced Oil Recovery Institute","2024-12",467.04
"Enhanced Oil Recovery Institute","2025-01",1478.96
"Enhanced Oil Recovery Institute","2025-02",194.59
"Enhanced Oil Recovery Institute","2025-03",3834.58
"Enhanced Oil Recovery Institute","2025-04",194.6
"Enhanced Oil Recovery Institute","2025-05",994.62
"Family & Consumer Sciences","2021-07",1016.92
"Family & Consumer Sciences","2021-08",9128.35
"Family & Consumer Sciences","2021-09",6510.14
"Family & Consumer Sciences","2021-10",618.17
"Family & Consumer Sciences","2021-11",2039.27
"Family & Consumer Sciences","2021-12",1220.55
"Family & Consumer Sciences","2022-01",482.17
"Family & Consumer Sciences","2022-02",689.58
"Family & Consumer Sciences","2022-03",689.58
"Family & Consumer Sciences","2022-04",1350.23
"Family & Consumer Sciences","2022-05",1855.56
"Family & Consumer Sciences","2022-06",7032.53
"Family & Consumer Sciences","2022-07",7042.21
"Family & Consumer Sciences","2022-08",4341.39
"Family & Consumer Sciences","2022-09",790.79
"Family & Consumer Sciences","2022-10",607.34
"Family & Consumer Sciences","2022-11",346.12
"Family & Consumer Sciences","2022-12",402.03
"Family & Consumer Sciences","2023-01",224.98
"Family & Consumer Sciences","2023-02",5539.53
"Family & Consumer Sciences","2023-03",4105.52
"Family & Consumer Sciences","2023-04",1724.85
"Family & Consumer Sciences","2023-05",2889.37
"Family & Consumer Sciences","2023-06",3338.4
"Family & Consumer Sciences","2023-07",1014.01
"Family & Consumer Sciences","2023-08",1095.98
"Family & Consumer Sciences","2023-09",4675.68
"Family & Consumer Sciences","2023-10",3973.22
"Family & Consumer Sciences","2023-11",3721.88
"Family & Consumer Sciences","2023-12",3636.28
"Family & Consumer Sciences","2024-01",4108.41
"Family & Consumer Sciences","2024-02",3820.66
"Family & Consumer Sciences","2024-03",4142.04
"Family & Consumer Sciences","2024-04",3628.63
"Family & Consumer Sciences","2024-05",2693.06
"Family & Consumer Sciences","2024-06",4931.94
"Family & Consumer Sciences","2024-07",4266.78
"Family & Consumer Sciences","2024-08",2042.84
"Family & Consumer Sciences","2024-09",2087.03
"Family & Consumer Sciences","2024-10",3376.91
"Family & Consumer Sciences","2024-11",2399.61
"Family & Consumer Sciences","2024-12",2341.97
"Family & Consumer Sciences","2025-01",2183.28
"Family & Consumer Sciences","2025-02",2083.06
"Family & Consumer Sciences","2025-03",4004.4
"Family & Consumer Sciences","2025-04",4561.4
"Family & Consumer Sciences","2025-05",1482.28
"Family Medicine Residency Programs Casper","2023-07",449.09
"Family Medicine Residency Programs Casper","2023-08",3123.01
"Family Medicine Residency Programs Casper","2023-09",68.26
"Family Medicine Residency Programs Casper","2023-10",385.54
"Family Medicine Residency Programs Casper","2023-11",491.87
"Family Medicine Residency Programs Casper","2023-12",705.46
"Family Medicine Residency Programs Casper","2024-01",6908.34
"Family Medicine Residency Programs Casper","2024-02",404.24
"Family Medicine Residency Programs Casper","2024-03",661.77
"Family Medicine Residency Programs Casper","2024-04",300.18
"Family Medicine Residency Programs Casper","2024-05",2228.03
"Family Medicine Residency Programs Casper","2024-06",3302.68
"Family Medicine Residency Programs Casper","2024-07",245.7
"Family Medicine Residency Programs Casper","2024-08",472.03
"Family Medicine Residency Programs Casper","2024-09",170.23
"Family Medicine Residency Programs Casper","2024-10",170.23
"Family Medicine Residency Programs Casper","2024-11",178.63
"Family Medicine Residency Programs Casper","2024-12",8126.71
"Family Medicine Residency Programs Casper","2025-01",591.56
"Family Medicine Residency Programs Casper","2025-02",860.06
"Family Medicine Residency Programs Casper","2025-03",247.33
"Family Medicine Residency Programs Casper","2025-04",-8472.64
"Family Medicine Residency Programs Casper","2025-05",395.69
"Family Medicine Residency Programs Casper","2025-06",53.1
"Geology & Geophysics","2021-07",61407.46
"Geology & Geophysics","2021-08",44151.96
"Geology & Geophysics","2021-09",26077.96
"Geology & Geophysics","2021-10",27427.73
"Geology & Geophysics","2021-11",30537.05
"Geology & Geophysics","2021-12",23146.91
"Geology & Geophysics","2022-01",30085.92
"Geology & Geophysics","2022-02",28055.12
"Geology & Geophysics","2022-03",30502.73
"Geology & Geophysics","2022-04",28043.98
"Geology & Geophysics","2022-05",60037.26
"Geology & Geophysics","2022-06",78892.67
"Geology & Geophysics","2022-07",52470.04
"Geology & Geophysics","2022-08",22780.55
"Geology & Geophysics","2022-09",18139.84
"Geology & Geophysics","2022-10",17167.29
"Geology & Geophysics","2022-11",15804.47
"Geology & Geophysics","2022-12",21487.38
"Geology & Geophysics","2023-01",21491.49
"Geology & Geophysics","2023-02",25959.8
"Geology & Geophysics","2023-03",30515.91
"Geology & Geophysics","2023-04",23009.14
"Geology & Geophysics","2023-05",28723.4
"Geology & Geophysics","2023-06",41025.17
"Geology & Geophysics","2023-07",91280.71
"Geology & Geophysics","2023-08",59716.05
"Geology & Geophysics","2023-09",98301.17
"Geology & Geophysics","2023-10",14056.01
"Geology & Geophysics","2023-11",22814.89
"Geology & Geophysics","2023-12",23323.67
"Geology & Geophysics","2024-01",19063.03
"Geology & Geophysics","2024-02",10650.87
"Geology & Geophysics","2024-03",15390.31
"Geology & Geophysics","2024-04",22213.01
"Geology & Geophysics","2024-05",30596.87
"Geology & Geophysics","2024-06",51761.33
"Geology & Geophysics","2024-07",46867.39
"Geology & Geophysics","2024-08",32331.93
"Geology & Geophysics","2024-09",18613.91
"Geology & Geophysics","2024-10",33314.15
"Geology & Geophysics","2024-11",39607.26
"Geology & Geophysics","2024-12",18577.98
"Geology & Geophysics","2025-01",15588.99
"Geology & Geophysics","2025-02",14812.93
"Geology & Geophysics","2025-03",14852.25
"Geology & Geophysics","2025-04",16453.8
