"Proposal #","Admin Unit","Instrument Type","PI.x","sponsor type","Prime Sponsor","Project End Date","Project Start Date","Project Title","Proposal Type","Sponsor","Status","Actual_Submission_Date","Actual_Udr_Consid_Date","Actual_Funding_Date","Actual_Not_Funding_Date","Actual_Submission_FY","Actual_Udr_Consid_FY","Actual_Funding_FY","Actual_Not_Funding_FY","Created Date.y","Proposal_Creation_FY","Days_to_Submission","Days_to_Funding_From_Submission","Days_to_Non_Funding_From_Submission","College/Division","Total Sponsor Costs","Comments","Date","Year","PI.y","Title","Agency","Program","Completion Date","Internal","External","Other","Awarded_Status_By_TIG","Comment by Nick","Correct_Proposal_Status"
"23-1938-P0001","Physics & Astronomy",,"Jifa Tian","U.S. Federal Government",,"6/30/2028","7/1/2023","CAREER: Magnetoelectric Coupling in Two-dimensional Materials and van der Waals Heterostructures - New Physics and Memory Device Applications","New","National Science Foundation","Not Funded",2023-06-30 10:49:59,,,2023-11-29 11:02:07,"FY2023",,,"FY2024",2023-06-30 10:49:59,"FY2023",0,,152,"Engineering",659836,"Created Date Imputed because Submission Date is missing for Not Funded proposal!",,,,,,,,,,,,,
"23-1943-P0001","Mechanical Engineering",,"Xiang Zhang","Institutions of Higher Education","National Science Foundation","4/30/2026","5/1/2023","National Science Foundation Regional Innovation Engines (NSF Engines) Broad Agency","New","South Dakota School of Mines and Technology","Not Funded",2024-04-19 16:55:03,,,2024-04-19 10:55:33,"FY2024",,,"FY2024",2023-06-30 13:54:43,"FY2023",294,,0,"Engineering",95000,,,,,,,,,,,,,,
"23-1944-P0001","Wyoming Survey & Analysis Center",,"Robert K. Leduc","Non-Profit Organizations",,"6/1/2024","6/2/2023","Blue Cross Blue Shield of Wyoming Website Maintenance","Non-Competing Continuation","Blue Cross Blue Shield of Wyoming","Funded",2023-07-26 16:17:08,,2023-09-20 15:19:33,,"FY2024",,"FY2024",,2023-06-30 14:01:42,"FY2023",26,56,,"Research & Economic Development",57414,,,,,,,,,,,,,,
"23-1944-P0002","Wyoming Survey & Analysis Center",,"Robert K. Leduc","Industry",,"6/1/2025","6/2/2024","Blue Cross Blue Shield of Wyoming Website Maintenance","Non-Competing Continuation","Blue Cross Blue Shield of Wyoming","Funded",2024-04-24 21:45:06,,2025-05-05 15:47:16,,"FY2024",,"FY2025",,2024-04-23 15:10:59,"FY2024",1,376,,"Research & Economic Development",20093,,,,,,,,,,,,,,
"23-1944-P0003","Wyoming Survey & Analysis Center",,"Robert K. Leduc","Other State and Local Governmental Entities",,"5/31/2026","6/1/2025","Blue Cross Blue Shield of Wyoming Website Maintenance","Other","Blue Cross Blue Shield of Wyoming","Submitted to Sponsor",2025-05-07 14:40:34,,,,"FY2025",,,,2025-04-29 11:29:14,"FY2025",8,,,"Research & Economic Development",20124,,,,,,,,,,,,,,
"23-1945-P0001","Zoology & Physiology",,"Qian-Quan Sun","U.S. Federal Government",,"11/30/2021","12/1/2016","Wyoming Sensory Biology COBRE","New","National Institute of General Medical Sciences/National Institutes of Health/Department of Health and Human Services","Funded",2023-07-03 16:43:23,,2023-07-03 10:43:57,,"FY2024",,"FY2024",,2023-06-30 14:03:58,"FY2023",3,0,,"Agriculture",10411923,,,,,,,,,,,,,,
"23-1945-P0002","Zoology & Physiology",,"Qian-Quan Sun","U.S. Federal Government",,"7/31/2027","8/1/2022","Wyoming Sensory Biology COBRE","Competing Continuation","National Institute of General Medical Sciences/National Institutes of Health/Department of Health and Human Services","Funded",2023-07-03 19:04:56,,2023-07-03 13:05:44,,"FY2024",,"FY2024",,2023-07-03 10:33:28,"FY2024",0,0,,"Agriculture",10502320,,,,,,,,,,,,,,
"23-1945-P0003","VP for Research & Economic Development Office",,"Qian-Quan Sun","U.S. Federal Government",,"7/31/2024","8/1/2023","Wyoming Sensory Biology COBRE","Supplement","National Institute of General Medical Sciences/National Institutes of Health/Department of Health and Human Services","Not Funded",2023-09-01 14:19:32,,,2025-06-06 09:48:28,"FY2024",,,"FY2025",2023-07-03 13:17:24,"FY2024",60,,644,"Research & Economic Development",281943,,,,,,,,,,,,,,
"23-1945-P0004","VP for Research & Economic Development Office",,"Qian-Quan Sun","U.S. Federal Government",,"7/31/2024","8/1/2023","Wyoming Sensory Biology COBRE","Supplement","National Institute of General Medical Sciences/National Institutes of Health/Department of Health and Human Services","Closed",2023-09-01 14:18:52,2023-09-08 12:31:34,,,"FY2024","FY2024",,,2023-07-03 13:27:29,"FY2024",60,,,"Research & Economic Development",929711,,,,,,,,,,,,,,
"23-1945-P0005","VP for Research & Economic Development Office",,"Qian-Quan Sun","U.S. Federal Government",,"7/31/2024","8/1/2023","Wyoming Sensory Biology COBRE","Supplement","National Institute of General Medical Sciences/National Institutes of Health/Department of Health and Human Services","Funded",2023-08-24 16:56:59,,2024-11-22 14:34:48,,"FY2024",,"FY2025",,2023-07-03 13:56:06,"FY2024",52,456,,"Research & Economic Development",945598,,,,,,,,,,,,,,
"23-1945-P0006","VP for Research & Economic Development Office",,"Qian-Quan Sun","U.S. Federal Government",,"7/31/2025","8/1/2023","Wyoming Sensory Biology COBRE","Supplement","National Institute of General Medical Sciences/National Institutes of Health/Department of Health and Human Services","Funded",2023-07-03 20:27:15,2023-07-30 15:07:10,2023-09-22 15:44:08,,"FY2024","FY2024","FY2024",,2023-07-03 14:09:16,"FY2024",0,81,,"Research & Economic Development",712858,,,,,,,,,,,,,,
"23-1945-P0007","VP for Research & Economic Development Office",,"Qian-Quan Sun","U.S. Federal Government",,"7/31/2024","8/1/2023","Wyoming Sensory Biology COBRE","Supplement","National Institute of General Medical Sciences/National Institutes of Health/Department of Health and Human Services","Funded",2023-07-26 15:40:01,,2023-07-26 09:40:18,,"FY2024",,"FY2024",,2023-07-17 14:45:16,"FY2024",9,0,,"Research & Economic Development",249981,,,,,,,,,,,,,,
"23-1945-P0008","VP for Research & Economic Development Office",,"Qian-Quan Sun","U.S. Federal Government",,"7/31/2024","8/1/2023","Wyoming Sensory Biology COBRE","Supplement","National Institute of General Medical Sciences/National Institutes of Health/Department of Health and Human Services","Funded",2023-09-26 19:48:54,,2023-09-26 13:49:01,,"FY2024",,"FY2024",,2023-09-22 15:19:28,"FY2024",4,0,,"Research & Economic Development",356545,,,,,,,,,,,,,,
"23-1945-P0009","VP for Research & Economic Development Office",,"Qian-Quan Sun","U.S. Federal Government",,"7/31/2025","8/1/2024","Wyoming Sensory Biology COBRE","Supplement","National Institute of General Medical Sciences/National Institutes of Health/Department of Health and Human Services","Funded",2024-02-14 17:06:19,,2024-08-08 11:45:19,,"FY2024",,"FY2025",,2024-02-07 11:29:23,"FY2024",7,176,,"Research & Economic Development",250000,,,,,,,,,,,,,,
"23-1945-P0010","VP for Research & Economic Development Office",,"Qian-Quan Sun","U.S. Federal Government",,"7/31/2025","8/1/2024","Wyoming Sensory Biology COBRE","Supplement","National Institute of Mental Health/National Institutes of Health/Department of Health and Human Services","Submitted to Sponsor",2024-03-04 21:18:51,,,,"FY2024",,,,2024-02-26 08:10:56,"FY2024",8,,,"Research & Economic Development",934039,,,,,,,,,,,,,,
"23-1945-P0011","VP for Research & Economic Development Office",,"Qian-Quan Sun","U.S. Federal Government",,"7/31/2026","8/1/2025","Wyoming Sensory Biology COBRE","Supplement","National Institute of General Medical Sciences/National Institutes of Health/Department of Health and Human Services","Submitted to Sponsor",2025-07-09 21:02:59,,2025-05-05 15:12:06,,"FY2026",,"FY2025",,2025-04-07 09:43:25,"FY2025",93,-65,,"Research & Economic Development",935282,,,,,,,,,,,,,,
"23-1946-P0001","Advanced Research Computing Center",,"Liudmila Sergeevna Mainzer","U.S. Federal Government",,"7/31/2026","8/1/2023","Focused Technology Research and Development (R01 Clinical Trial Not Allowed)","New","National Institutes of Health/Department of Health and Human Services","Not Funded",2024-04-19 17:13:57,,,2024-04-19 11:14:16,"FY2024",,,"FY2024",2023-06-30 14:08:42,"FY2023",294,,0,"Research & Economic Development",1560157,,,,,,,,,,,,,,
"23-1947-P0001","School of Teacher Education",,"Richard Stanley Kitchen","U.S. Federal Government",,"6/30/2026","7/1/2023","Discovery Research PreK-12 (DRK-12)","New","National Science Foundation","Not Funded",2023-06-30 14:13:15,,,2024-04-05 15:09:33,"FY2023",,,"FY2024",2023-06-30 14:13:15,"FY2023",0,,280,"Education",1457806,"Created Date Imputed because Submission Date is missing for Not Funded proposal!",,,,,,,,,,,,,
"23-1950-P0001","Atmospheric Science",,"Dana Caulton","U.S. Federal Government",,"3/31/2026","4/1/2023","Methane INventory for NOrthern Wetlands (MINNOW)","New","National Aeronautics and Space Administration","Not Funded",2024-03-28 17:52:31,,,2024-03-28 11:52:48,"FY2024",,,"FY2024",2023-06-30 15:04:15,"FY2023",272,,0,"Engineering",946553,,,,,,,,,,,,,,
"23-1951-P0001","Atmospheric Science",,"Shane Michael Murphy","Industry",,"6/21/2025","6/21/2023","Handix Scientific Full Phase II: IR-PAS for Aerosol Absorption Measurements","New","Handix Scientific, Inc.","Funded",2023-08-17 17:52:38,2023-08-17 11:52:59,2024-09-27 08:24:58,,"FY2024","FY2024","FY2025",,2023-06-30 15:07:34,"FY2023",48,407,,"Engineering",404876.46,,,,,,,,,,,,,,
"23-1954-P0001","Wyoming Geographic Information Science Center",,"Di Yang","U.S. Federal Government",,,,"Macrosystems Biology and NEON-Enabled Science (MSB-NES)","New","National Science Foundation","Not Funded",2024-03-13 14:59:09,,,2024-03-13 09:00:12,"FY2024",,,"FY2024",2023-06-30 15:23:20,"FY2023",257,,0,"Engineering",,,,,,,,,,,,,,,
"23-1955-P0001","Ecosystem Science & Management",,"Melanie A. Murphy","Non-Profit Organizations",,"3/31/2025","4/1/2023","Cattle and BDAs","New","National Cattlemen's Beef Association","Not Funded",2024-03-13 15:04:57,,,2024-12-23 10:40:42,"FY2024",,,"FY2025",2023-06-30 15:28:27,"FY2023",257,,285,"Agriculture",149936,,,,,,,,,,,,,,
"23-1961-P0001","Molecular Biology",,"Sourabh Sengupta","Non-Profit Organizations",,"7/31/2026","8/1/2023","Nuclear size regulation","New","American Cancer Society","Not Funded",2024-03-28 20:55:58,,,2024-12-23 12:15:15,"FY2024",,,"FY2025",2023-06-30 16:01:59,"FY2023",272,,270,"Agriculture",217500,,,,,,,,,,,,,,
"23-1963-P0001","Wyoming Survey & Analysis Center",,"Laurel Allison Wimbish","U.S. Federal Government",,"9/30/2024","10/1/2023","2023 State Justice Statistics","New","Department of Justice","Funded",2023-09-18 21:16:51,2023-09-18 15:30:46,2023-10-03 09:35:39,,"FY2024","FY2024","FY2024",,2023-06-30 16:16:02,"FY2023",80,15,,"Research & Economic Development",224316,,,,,,,,,,,,,,
"23-1965-P0001","Physics & Astronomy",,"Jifa Tian",,,"12/31/2025","1/1/2024","Superconducting Josephson Junctions","New","National Science Foundation","Funded",2024-03-28 17:18:34,,2024-09-25 12:56:31,,"FY2024",,"FY2025",,2023-06-30 16:23:38,"FY2023",272,181,,"Engineering",300000,,,,,,,,,,,,,,
"23-1966-P0001","Wyo Natural Diversity Database",,"Ian M. Abernethy","Wyoming State Governmental Entities",,"12/31/2024","8/4/2023","Canada Lynx Monitoring","New","Wyoming Game and Fish Department","Funded",2023-07-12 18:18:32,,2023-09-28 10:28:54,,"FY2024",,"FY2024",,2023-06-30 16:35:21,"FY2023",12,78,,"Research & Economic Development",55420.95,,,,,,,,,,,,,,
"23-1967-P0001","Kinesiology & Health",,"Evan C. Johnson","Institutions of Higher Education","University of Washington, Seattle","5/30/2023","12/1/2022","Modular Heat Chamber for Heat Acclimation","New","ADD NEW","Funded",2023-07-05 18:24:56,2023-07-05 12:25:31,2023-07-05 12:26:21,,"FY2024","FY2024","FY2024",,2023-06-30 16:44:23,"FY2023",5,0,,"Health Sciences",4999,,,,,,,,,,,,,,
"24-0001-P0001","Kinesiology & Health",,"Ben D Kern","Non-Profit Organizations",,"6/30/2024","7/1/2023","Unified Physical Educatin Professional Development","New","Special Olympics Wyoming","Funded",2023-07-03 23:29:33,,2024-12-23 12:42:17,,"FY2024",,"FY2025",,2023-07-03 17:18:40,"FY2024",0,539,,"Health Sciences",11055,,,,,,,,,,,,,,
"24-0002-P0001","Energy & Petroleum Engineering",,"Maohong Fan","Industry",,"4/2/2025","4/3/2023","REEs Recycling for REMs Production by Hydrogen Plasma Reduction of REOs/Salts","New","Polykala Technologies, LLC","Funded",2023-07-04 00:09:35,,2024-12-23 12:46:37,,"FY2024",,"FY2025",,2023-07-03 17:59:55,"FY2024",0,539,,"Engineering",80000,,,,,,,,,,,,,,
"24-0003-P0001","Chemistry",,"Caleb Matthew Hill","U.S. Federal Government",,"4/12/2027","4/13/2023","The NERC Faculty Scholars Program","New","United States Nuclear Regulatory Commission","Funded",2023-07-04 18:07:26,,2024-12-23 10:32:23,,"FY2024",,"FY2025",,2023-07-04 11:44:52,"FY2024",0,538,,"Engineering",599999.98,,,,,,,,,,,,,,
"24-0004-P0001","Transportation Services",,"Paul W. Kunkel","Wyoming State Governmental Entities",,"9/30/2026","5/30/2023","FY23 5339 WYDOT/FTA Capital Request (non-vehicles)","New","Wyoming Department of Transportation","Funded",2023-07-06 21:44:47,,2023-07-06 15:45:05,,"FY2024",,"FY2024",,2023-07-05 08:53:27,"FY2024",2,0,,"Campus Operations",1200000,,,,,,,,,,,,,,
"24-0005-P0001","Communication Disorders",,"Douglas Bryan DISABLED Petersen","Institutions of Higher Education","Department of Education","6/30/2027","7/1/2023","IES Special Education Research Grant","New","ADD NEW","Not Funded",2023-07-10 18:35:30,,,2024-12-23 10:14:47,"FY2024",,,"FY2025",2023-07-05 16:16:51,"FY2024",5,,532,"Health Sciences",459923,,,,,,,,,,,,,,
"24-0006-P0001","Civil & Architectural Engineering & Construction Management",,"Ryan Webb","U.S. Federal Government",,"6/30/2029","7/1/2024","CAREER: Defining the Role of Snow in Storing and Transmitting Liquid Water  to Generate Streamflow","Resubmission","National Science Foundation","Not Funded",2023-08-17 22:24:38,,,2023-12-11 14:09:24,"FY2024",,,"FY2024",2023-07-06 08:44:54,"FY2024",43,,116,"Engineering",711117,,,,,,,,,,,,,,
"24-0006-P0002","Civil & Architectural Engineering & Construction Management",,"Ryan Webb","U.S. Federal Government",,"4/30/2030","5/1/2025","CAREER: Defining the Role of Snow in Storing and Transmitting Liquid Water  to Generate Streamflow","Resubmission","National Science Foundation","Funded",2024-07-10 18:44:03,2025-01-15 08:37:08,2025-01-15 08:37:17,,"FY2025","FY2025","FY2025",,2024-05-09 15:27:09,"FY2024",62,189,,"Engineering",738196,,"June",2023,"Webb","CAREER: Defining the Role of Snow in Storing and Transmitting Liquid Water to Generate Streamflow","NSF","CAREER","6.28.23",,,,,"24-0006-P0001 updated to 24-0006-P0002","Funded"
"24-0007-P0001","College of Business Deans Office",,"David M. Aadland","Wyoming State Governmental Entities",,"6/30/2024","7/1/2023","Prevailing Wages in the State of Wyoming","Renewal","Wyoming Workforce Services","Funded",2023-07-12 14:26:59,,2023-07-12 08:27:16,,"FY2024",,"FY2024",,2023-07-06 10:45:49,"FY2024",6,0,,"Business",49500,,,,,,,,,,,,,,
"24-0007-P0002","COB Centers for Excellence",,"David M. Aadland","Wyoming State Governmental Entities",,"6/30/2025","8/1/2024","Prevailing Wages in the State of Wyoming","Non-Competing Continuation","Wyoming Workforce Services","Funded",2024-04-23 13:48:47,,2024-04-23 07:48:55,,"FY2024",,"FY2024",,2024-04-19 16:14:53,"FY2024",4,0,,"Business",51840,,,,,,,,,,,,,,
"24-0008-P0001","Wyoming Survey & Analysis Center",,"Rodney A. Wambeam","Other State and Local Governmental Entities",,"10/31/2026","8/1/2023","Evaluation of the Arkansas Opioid Recovery Partnership","New","ADD NEW","Funded",2023-07-26 18:13:36,,2023-09-08 16:02:12,,"FY2024",,"FY2024",,2023-07-06 11:09:32,"FY2024",20,44,,"Research & Economic Development",398087,,,,,,,,,,,,,,
"24-0009-P0001","Wyoming Coop Unit",,"Matthew Kauffman","Non-Profit Organizations",,"12/31/2025","7/1/2023","Challenge Grant to Fund the Wyoming Migration Initiative","Renewal","Knobloch Family Foundation","Funded",2023-07-06 18:25:04,2023-07-06 12:25:46,2023-07-06 12:26:27,,"FY2024","FY2024","FY2024",,2023-07-06 12:14:07,"FY2024",0,0,,"Agriculture",490000,,,,,,,,,,,,,,
"24-0009-P0002","Wyoming Coop Unit",,"Matthew Kauffman","Non-Profit Organizations",,"12/31/2026","7/1/2024","Challenge Grant to Fund the Wyoming Migration Initiative","New","Knobloch Family Foundation","Funded",2024-06-26 13:05:08,,2024-07-30 13:22:24,,"FY2024",,"FY2025",,2024-02-13 14:53:15,"FY2024",134,34,,"Agriculture",440000,,,,,,,,,,,,,,
"24-0009-P0003","Wyoming Coop Unit",,"Matthew Kauffman","Non-Profit Organizations",,"12/1/2027","7/1/2025","Challenge Grant to Fund the Wyoming Migration Initiative","New","Knobloch Family Foundation","Submitted to Sponsor",2025-05-19 15:02:03,,,,"FY2025",,,,2025-03-19 11:11:58,"FY2025",61,,,"Agriculture",440000,,,,,,,,,,,,,,
"24-0010-P0001","Haub School of Environment & Natural Resources",,"James A. Fried","Wyoming State Governmental Entities",,"4/14/2025","4/25/2023","Brush Creek/Hayden Trail Construction and Maintenance","New","Wyoming State Parks and Cultural Resources","Funded",2024-03-15 12:56:59,,2024-03-15 06:57:05,,"FY2024",,"FY2024",,2023-07-06 12:54:33,"FY2024",253,0,,"Haub School of Environment & Natural Resources",30000,,,,,,,,,,,,,,
"24-0011-P0001","Electrical Engineering & Computer Science",,"Diksha Shukla","U.S. Federal Government",,"12/31/2025","1/1/2024","Collaborative Research: EAGER: EDU DCL: Appropriate Pedagogy for Providing Hands-on Cybersecurity Training and Awareness to Healthcare Professionals","New","National Science Foundation","Not Funded",2023-07-10 14:36:28,,,2023-08-31 14:32:00,"FY2024",,,"FY2024",2023-07-06 13:31:14,"FY2024",4,,52,"Engineering",145221,,,,,,,,,,,,,,
"24-0012-P0001","Haub School of Environment & Natural Resources",,"James A. Fried","Wyoming State Governmental Entities",,"10/31/2023","5/1/2023","Douglas Rd Trail Construction and Maintenance","New","Wyoming State Parks and Cultural Resources","Funded",2024-03-15 12:52:35,,2024-03-15 06:52:45,,"FY2024",,"FY2024",,2023-07-06 13:56:16,"FY2024",253,0,,"Haub School of Environment & Natural Resources",30000,,,,,,,,,,,,,,
"24-0013-P0001","Haub School of Environment & Natural Resources",,"James A. Fried","Wyoming State Governmental Entities",,"4/14/2025","6/30/2023","Laramie RD Trail Construction","New","Wyoming State Parks and Cultural Resources","Funded",2024-03-28 21:01:56,,2024-03-28 15:02:05,,"FY2024",,"FY2024",,2023-07-06 14:49:53,"FY2024",266,0,,"Haub School of Environment & Natural Resources",30000,,,,,,,,,,,,,,
"24-0014-P0001","Ecosystem Science & Management",,"Kristie Anne Maczko","Non-Profit Organizations",,"3/31/2025","4/4/2023","Ranch Planning for the Future: transition plans, business structure, and potential regional ranch economic impacts - University of Wyoming","New","National Cattlemen's Beef Association","Funded",2023-07-12 17:10:50,,2023-07-12 12:26:43,,"FY2024",,"FY2024",,2023-07-06 15:11:59,"FY2024",6,0,,"Agriculture",149900,,,,,,,,,,,,,,
"24-0015-P0001","Ecosystem Science & Management",,"Jeffrey L. Beck","U.S. Federal Government",,"9/30/2028","10/1/2023","Managing Sage-Grouse and Wind Energy in Wyoming","New","Bureau of Land Management/Department of the Interior","Funded",2023-07-07 19:23:48,,2023-07-07 13:24:25,,"FY2024",,"FY2024",,2023-07-07 13:13:28,"FY2024",0,0,,"Agriculture",1361383,,,,,,,,,,,,,,
"24-0016-P0001","Student Educational Opportunity",,"Paul Edward Hesco","U.S. Federal Government",,"8/31/2025","9/1/2020","University of Wyoming Student Support Services","Renewal","Department of Education","Funded",2023-07-07 20:06:04,,2023-07-07 14:06:21,,"FY2024",,"FY2024",,2023-07-07 13:55:22,"FY2024",0,0,,"Academic Affairs",430348,,,,,,,,,,,,,,
"24-0016-P0002","Student Educational Opportunity",,"Paul Edward Hesco","U.S. Federal Government",,"8/31/2030","9/1/2025","University of Wyoming Student Support Services","Competing Continuation","Department of Education","Funded",2025-07-07 16:45:26,,2025-07-07 10:45:49,,"FY2026",,"FY2026",,2024-07-10 15:00:23,"FY2025",362,0,,"Academic Affairs",463226,,,,,,,,,,,,,,
"24-0018-P0001","Wyoming Survey & Analysis Center",,"Laurel Allison Wimbish","Other State and Local Governmental Entities",,"6/30/2024","8/1/2023","Statistical Analysis of Domestic Violence and Diversity & Inclusion Data in NH Court System","New","ADD NEW","Funded",2023-07-26 16:16:28,2023-10-26 11:50:54,2024-02-06 12:40:50,,"FY2024","FY2024","FY2024",,2023-07-10 10:42:58,"FY2024",16,195,,"Research & Economic Development",81395.17,,,,,,,,,,,,,,
"24-0021-P0001","UW Extension",,"Jennifer Sue Thompson","U.S. Federal Government",,"9/30/2028","10/1/2023","UW Barnyards and Backyards - An innovative project to reach out to Wyoming's small acreage landowner with conservation programs","Renewal","Natural Resources Conservation Service/Department of Agriculture","Funded",2023-09-20 18:24:12,,2023-09-22 14:17:33,,"FY2024",,"FY2024",,2023-07-10 14:01:22,"FY2024",72,2,,"Agriculture",75000,,,,,,,,,,,,,,
"24-0022-P0001","Veterinary Science",,"Jonathan H. Fox","Non-Profit Organizations",,"12/31/2025","1/1/2024","Combining Traditional and Multiomic Approaches to Elucidate the Cause and Mechanisms of Canine Dysautonomia","New","ADD NEW","Funded",2023-07-26 15:56:03,2023-12-22 10:52:57,2024-04-15 12:36:49,,"FY2024","FY2024","FY2024",,2023-07-10 21:38:09,"FY2024",16,264,,"Agriculture",78171,,,,,,,,,,,,,,
"24-0023-P0001","Haub School of Environment & Natural Resources",,"Joseph Dale Holbrook","Institutions of Higher Education","National Aeronautics and Space Administration","5/1/2026","5/1/2023","GEDI Phase II","New","Colorado State University","Funded",2023-09-06 15:45:53,2024-10-07 15:48:44,2024-10-15 15:26:03,,"FY2024","FY2025","FY2025",,2023-07-11 10:06:27,"FY2024",57,405,,"Haub School of Environment & Natural Resources",125646,,,,,,,,,,,,,,
"24-0024-P0001","Office of Preaward Services",,"Farrell Jean Rapp","Institutions of Higher Education","National Science Foundation","10/31/2024","11/1/2023","Conference: Creating Capacity and Connections to Expand Research Support Across the Northern Plains","New","South Dakota State University","Funded",2024-04-19 18:07:51,,2024-04-19 12:08:05,,"FY2024",,"FY2024",,2023-07-11 11:57:08,"FY2024",283,0,,"Research & Economic Development",0,,,,,,,,,,,,,,
"24-0025-P0001","Zoology & Physiology",,"Michael E. Dillon","U.S. Federal Government",,"7/31/2026","8/1/2023","insect aging dynamics","New","National Science Foundation","Funded",2023-07-11 18:14:56,,2023-08-17 11:11:20,,"FY2024",,"FY2024",,2023-07-11 12:05:15,"FY2024",0,37,,"Agriculture",398251,,,,,,,,,,,,,,
"24-0026-P0001","Accounting & Finance",,"Ali Nejadmalayeri","U.S. Federal Government","National Science Foundation","5/31/2027","6/1/2024","Access to Capital Markets and Education Outcomes:  An Analysis of Moody’s 2010 Rating Recalibration on Public Education Bond Financing and Subsequent Educational Achievements","New","University of New Mexico","Not Funded",2023-08-14 21:38:36,,,2024-11-15 15:08:47,"FY2024",,,"FY2025",2023-07-11 12:57:56,"FY2024",34,,459,"Business",316573,,,,,,,,,,,,,,
"24-0027-P0001","Geology & Geophysics",,"Barbara E. John","U.S. Federal Government","National Science Foundation","5/30/2025","3/1/2024","""4-D architecture of crust formation in the root zone of an oceanic detachment system: new insights from IODP Hole U1601C, Atlantis Massif (mid-Atlantic Ridge)""","New","Columbia University","Funded",2023-07-19 17:05:19,2023-12-12 11:46:28,2024-09-27 09:20:09,,"FY2024","FY2024","FY2025",,2023-07-11 13:17:26,"FY2024",8,436,,"Engineering",19993,,,,,,,,,,,,,,
"24-0028-P0001","Plant Sciences",,"Md Anowarul Islam","U.S. Federal Government","National Science Foundation","8/31/2027","9/1/2023","Teaming up Against Climate Change (TEAM-ACE)","New","North Dakota State University","Not Funded",2024-03-28 21:12:12,,,2024-12-23 11:26:47,"FY2024",,,"FY2025",2023-07-11 13:19:59,"FY2024",261,,270,"Agriculture",1069285,,,,,,,,,,,,,,
"24-0029-P0001","Zoology & Physiology",,"Bethann Garramon Merkle","Institutions of Higher Education","National Science Foundation","7/1/2028","7/1/2023","Title RCN-UBE: SCUTE","New","University of Denver","Not Funded",2023-07-11 13:32:48,,,2024-12-09 14:48:07,"FY2024",,,"FY2025",2023-07-11 13:32:48,"FY2024",0,,517,"Agriculture",121930,"Created Date Imputed because Submission Date is missing for Not Funded proposal!",,,,,,,,,,,,,
"24-0030-P0001","Geology & Geophysics",,"Joseph Biasi","U.S. Federal Government",,"7/31/2024","7/1/2023","Collaborative Research: RAPID: A novel magnetometer network to capture the ongoing inflationary episode at Askja volcano, Iceland","New","National Science Foundation","Funded",2023-08-08 20:30:36,,2023-08-08 14:30:52,,"FY2024",,"FY2024",,2023-07-11 13:52:58,"FY2024",28,0,,"Engineering",17632,,,,,,,,,,,,,,
"24-0031-P0001","Botany",,"Carmela Rosaria Guadagno","U.S. Federal Government",,"9/1/2027","9/1/2023","Collaborative Research: RII Track-2 FEC: Community Resilience Under Climate Change: Harnessing Controlled Environment Agriculture to Secure Sustainability and Economic Growth","New","National Science Foundation","Funded",2024-01-18 17:13:03,,2024-09-23 15:23:29,,"FY2024",,"FY2025",,2023-07-11 14:29:14,"FY2024",191,249,,"Agriculture",2076904,,,,,,,,,,,,,,
"24-0032-P0001","Mathematics & Statistics",,"Ping Zhong","U.S. Federal Government",,"6/1/2025","6/1/2023","LEAPS-MPS: Some Applications of Free Probability and Random Matrix Theory","New","National Science Foundation","Funded",2023-07-25 18:04:06,,2023-08-08 13:25:17,,"FY2024",,"FY2024",,2023-07-11 14:59:02,"FY2024",14,14,,"Engineering",247480,,,,,,,,,,,,,,
"24-0033-P0001","Ecosystem Science & Management",,"Joseph Nathan Cook","Non-Profit Organizations","The Nature Conservancy","12/31/2023","8/1/2023","TNC Siebert Pivot - SCG-UW","Pre-proposal","Strike Consulting","Funded",2023-07-17 18:00:45,,2023-08-03 16:58:47,,"FY2024",,"FY2024",,2023-07-11 15:07:33,"FY2024",6,17,,"Agriculture",26213.27,,,,,,,,,,,,,,
"24-0033-P0002","Ecosystem Science & Management",,"Joseph Nathan Cook","Non-Profit Organizations","The Nature Conservancy","5/31/2024","11/1/2023","TNC Siebert Pivot - SCG-UW","Pre-proposal","Strike Consulting","Closed",2023-11-30 20:25:01,,,,"FY2024",,,,2023-09-26 14:26:30,"FY2024",65,,,"Agriculture",64111.53,,,,,,,,,,,,,,
"24-0033-P0004","Ecosystem Science & Management",,"Joseph Nathan Cook","Non-Profit Organizations",,"7/1/2024","3/15/2024","TNC Siebert Pivot - SCG-UW","New","The Nature Conservancy","Funded",2024-03-18 15:38:19,,2024-03-19 15:08:51,,"FY2024",,"FY2024",,2024-03-01 15:15:56,"FY2024",17,1,,"Agriculture",35000,,,,,,,,,,,,,,
"24-0034-P0001","Chemical & Biomedical Engineering",,"Karen E. Wawrousek","U.S. Federal Government",,"12/1/2025","12/1/2023","Omics for Lipid Accumulation during Growth","New","National Science Foundation","Not Funded",2024-03-13 15:11:06,,,2024-03-13 09:11:30,"FY2024",,,"FY2024",2023-07-11 15:29:40,"FY2024",246,,0,"Engineering",299674,,,,,,,,,,,,,,
"24-0035-P0001","Chemistry",,"Caleb Matthew Hill","U.S. Federal Government","U.S. Department of Energy","4/9/2024","7/10/2023","Selective Electrochemical Recovery of Rare Earth Elements from Ore",,"Wyonics, LLC","Funded",2023-11-27 20:28:03,,2023-11-27 13:28:10,,"FY2024",,"FY2024",,2023-07-11 21:06:15,"FY2024",139,0,,"Engineering",53524,,,,,,,,,,,,,,
